onset	duration	trial_type	taskName	stimulusCategory	response_time	runNum	blockNum	blockTrial	trialNum	task	stimulusType	locationI	categoryI	sizeCondI	fixTargPres	whichStair	wordIndex	stringLength	string_1	string_2	string_3	string_4	stringFreqBin	stringFreq	ELP_FreqHAL	stringOrthN	ELP_MeanRT	stringCategory	gapLetterI	eccentricity	sizeSpacingCond	xHeightDeg	spacingCondition	fontSizeI	fontSizePoints	fontSpacingDeg	fixationTargColr	tstimulusOns	tresponseOns	tTrialStart	tRes	fixBreak	trialDone	nFixBreakSegs	tFixBreak	userQuit	chosenRes	responseTimeout	respCorrect	didRecalib	quitDuringRecalib	tFeedback	tTrialEnd
10.6820396769326	0.149985477165319	-1.5	AttndStim	letters	1.24649597110692	4	1	1	1	1	1	5	2	1	0	2	214	4	able				high	318.35	176528	3	623.303	real	1	-1.5	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	0.75	10.6820396769326	10.831927738036	10.613330981927	11.9285356480395	0	1	0	NaN	0	2	0	1	0	0	NaN	14.5162497180281
14.6814844489563	0.149985477165319	-4.5	AttndStim	letters	0.9805389350513	4	1	2	2	1	1	3	1	1	1	2	30	4	muro				0	0	NaN	1	NaN	pseudo	1	-4.5	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	1	14.6814844489563	14.8314586390043	14.5480877929367	15.6620233840076	1	1	1	14.6825151570374	0	1	0	1	0	0	NaN	18.5152828849386
18.6810576199787	0.149985477165319	-4.5	AttndStim	letters	0.742917996016331	4	1	3	3	1	1	3	1	1	0	1	4	4	futh				0	0	NaN	0	NaN	pseudo	1	-4.5	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	1	18.6810576199787	18.8310088219587	18.5386631740257	19.423975615995	1	1	1	18.7788322049892	0	1	0	1	0	0	NaN	22.5152016129578
22.6806255669799	0.149985477165319	6	AttndStim	letters	0.904567823978141	4	1	4	4	1	1	10	1	1	0	2	122	4	tith				0	0	NaN	3	NaN	pseudo	1	6	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	1	22.6806255669799	22.8305687709944	22.5355059580179	23.585193390958	0	1	0	NaN	0	1	0	1	0	0	NaN	26.5144121369813
26.6801358700031	0.149985477165319	-6	AttndStim	letters	2.14595355093479	4	1	5	5	1	1	2	2	1	0	1	165	4	away				high	688.21	150815	2	605.5	real	1	-6	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	1	26.6801358700031	26.8301057110075	26.539375641034	28.8260894209379	1	1	1	26.6805486510275	0	2	0	1	0	0	NaN	30.5154423370259
30.6797378510237	0.149985477165319	-9	AttndStim	letters	0.835575060918927	4	1	6	6	1	1	1	1	1	0	2	89	4	vith				0	0	NaN	2	NaN	pseudo	1	-9	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	0.880111736793393	30.6797378510237	30.8296874259831	30.5459718729835	31.5153129119426	1	1	1	30.680025990936	0	1	0	1	0	0	NaN	34.5135383140296
38.6787542089587	0.149985477165319	3	AttndStim	letters	0.920564673026092	4	2	1	7	1	1	8	1	1	0	1	10	4	inom				0	0	NaN	0	NaN	pseudo	1	3	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	0.774596669241483	38.6787542089587	38.8287351180334	38.5438952490222	39.5993188819848	1	1	1	38.6791026139399	0	1	0	1	0	0	NaN	42.5124891819432
42.6782707819948	0.149985477165319	3	AttndStim	letters	0.923945636022836	4	2	2	8	1	1	8	1	1	1	2	105	4	frar				0	0	NaN	3	NaN	pseudo	1	3	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	0.75	42.6782707819948	42.8284031279618	42.5307839449961	43.6022164180176	1	1	1	42.7571845309576	0	1	0	1	0	0	NaN	46.5122814319329
46.6778390510008	0.149985477165319	4.5	AttndStim	letters	NaN	4	2	3	9	1	1	9	2	1	1	1	210	4	best				high	345.77	269708	15	540.441	real	1	4.5	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	0.660083802595045	46.6778390510008	46.8277826689882	46.5305364360102	NaN	1	1	1	46.6779993750388	0	NaN	1	NaN	0	0	NaN	50.5114166119602
50.6773645150242	0.149985477165319	6	AttndStim	letters	0.708672234904952	4	2	4	10	1	1	10	1	1	1	2	5	4	inen				0	0	NaN	0	NaN	pseudo	1	6	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	0.681731619880499	50.6773645150242	50.8273222020362	50.5317229640204	51.3860367499292	1	1	1	50.6775941119995	0	1	0	1	0	0	NaN	54.5110365379369
