onset	duration	trial_type	taskName	stimulusCategory	response_time	runNum	blockNum	blockTrial	trialNum	task	stimulusType	locationI	categoryI	sizeCondI	fixTargPres	whichStair	wordIndex	stringLength	string_1	string_2	string_3	string_4	stringFreqBin	stringFreq	ELP_FreqHAL	stringOrthN	ELP_MeanRT	stringCategory	gapLetterI	eccentricity	sizeSpacingCond	xHeightDeg	spacingCondition	fontSizeI	fontSizePoints	fontSpacingDeg	tstimulusOns	tresponseOns	tTrialStart	tRes	fixBreak	trialDone	nFixBreakSegs	tFixBreak	userQuit	chosenRes	responseTimeout	respCorrect	didRecalib	quitDuringRecalib	tFeedback	tTrialEnd	fixationTargColr	year	month	day	runNumber	RT	edfMatchesMat	edfTStart	edfTFixOn	edfTStimOn	edfTStimOff	edfTRespInterval	edfFixBreak	edfTFixBreak	onlineFixBreak	onlineFixBreakInBlink	propBadSamples	horizGazeSD	vertGazeSD	timeOfFirstDevRelStimOns	timeOfMaxDevRelStimOns	maxEyeDev	eyeDevAngle	nBlinksInFixtnInterval	nBlinksInPostStimInterval	medianITIGazeX	medianITIGazeY	meanITIGazeX	meanITIGazeY	medGazeXDuringStim	medGazeYDuringStim	offlineFixBreak	blinkDuringFixBreak	lookedAtOtherStimLoc	breakPosX	breakPosY	correctedBreakPosX	correctedBreakPosY	lookedAtOtherLoc_PostStim	breakPosX_postStim	breakPosY_postStim	correctedBreakPosX_postStim	correctedBreakPosY_postStim	postStimBreakTStart	nPostStimSaccs	postStimSac1_endX	postStimSac1_endY	postStimSac1_dx	postStimSac1_RT	postStimSac2_endX	postStimSac2_endY	postStimSac2_dx	postStimSac2_RT	hasEDFFile
10.6871983390001	0.14999567202	-9	AttndFix	shapes	1.05280799599996	1	1	1	1	2	2	1	1	1	0	1	5	4	2	1	1	1	n/a	0	0	0	0	pseudo	1	-9	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	10.6871983390001	10.837194791	10.6409880830001	11.7400063350001	1	1	1	10.68999491	0	1	0	1	0	0	n/a	14.52240803	0.75	2020	12	10	1	1052.80799599996	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	0	0	n/a	n/a	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0
14.6872050700001	0.14999567202	-4.5	AttndFix	shapes	0.785704127999907	1	1	2	2	2	2	3	1	1	0	2	12	4	1	2	2	2	n/a	0	0	0	0	pseudo	1	-4.5	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	14.6872050700001	14.8371273310001	14.5815665760001	15.472909198	1	1	1	14.689149997	0	1	0	1	0	0	n/a	18.5212632370001	1	2020	12	10	1	785.704127999907	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	0	0	n/a	n/a	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0
18.6871411889999	0.14999567202	-4.5	AttndFix	shapes	0.626736367999911	1	1	3	3	2	2	3	1	1	1	2	9	4	2	1	1	2	n/a	0	0	0	0	pseudo	2	-4.5	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	18.6871411889999	18.8371915999999	18.5610131760002	19.3138775569998	1	1	1	18.688725101	0	1	0	0	0	0	n/a	22.5219545769999	1	2020	12	10	1	626.736367999911	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	0	0	n/a	n/a	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0
22.6872106070002	0.14999567202	-9	AttndFix	shapes	1.13700864799966	1	1	4	4	2	2	1	2	1	1	2	12	4	1	2	2	2	n/a	0	0	0	0	real	1	-9	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	22.6872106070002	22.8371842280001	22.5554805039999	23.8242192549999	1	1	1	22.6877586779999	0	1	0	0	0	0	n/a	26.5212304839999	1	2020	12	10	1	1137.00864799966	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	0	0	n/a	n/a	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0
26.6704718459998	0.14999567202	1.5	AttndFix	shapes	0.834578697000325	1	1	5	5	2	2	7	1	1	1	2	6	4	1	1	2	2	n/a	0	0	0	0	pseudo	2	1.5	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	26.6704718459998	26.820538184	26.5660079080001	27.5050505430002	1	1	1	26.6709806629999	0	1	0	0	0	0	n/a	30.5065160309998	1	2020	12	10	1	834.578697000325	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	0	0	n/a	n/a	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0
30.6872238849999	0.14999567202	1.5	AttndFix	shapes	0.750774548000209	1	1	6	6	2	2	7	1	1	0	1	8	4	1	2	2	1	n/a	0	0	0	0	pseudo	2	1.5	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	30.6872238849999	30.8371675340002	30.5753930480003	31.4379984330001	1	1	1	30.6876810850001	0	1	0	1	0	0	n/a	34.521459065	0.75	2020	12	10	1	750.774548000209	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	0	0	n/a	n/a	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0
42.6872043209999	0.14999567202	-9	AttndFix	letters	1.38470087300038	1	2	1	7	2	1	1	1	1	1	1	8	4	inll	n/a	n/a	n/a	0	0	n/a	0	n/a	pseudo	1	-9	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	42.6872043209999	42.8372038170003	42.5606318160001	44.0719051940002	1	1	1	42.6874935230001	0	2	0	1	0	0	n/a	46.521029708	0.660083802595045	2020	12	10	1	1384.70087300038	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	0	0	n/a	n/a	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0
46.6704641819999	0.14999567202	9	AttndFix	letters	0.745676310999897	1	2	2	8	2	1	11	1	1	1	1	37	4	onlp	n/a	n/a	n/a	0	0	n/a	1	n/a	pseudo	1	9	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	46.6704641819999	46.820538141	46.5541693480002	47.4161404929998	1	1	1	46.670847958	0	1	0	0	0	0	n/a	50.5044852590001	0.580947501931112	2020	12	10	1	745.676310999897	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	0	0	n/a	n/a	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0
50.6705377730002	0.14999567202	-3	AttndFix	letters	1.28749038199976	1	2	3	9	2	1	4	2	1	1	1	162	4	life	n/a	n/a	n/a	n/a	741.22	219561	10	519.559	real	1	-3	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	50.6705377730002	50.820462593	50.5422881269999	51.958028155	1	1	1	50.6708356080001	0	1	0	0	0	0	n/a	54.504244252	0.968245836551854	2020	12	10	1	1287.49038199976	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	0	0	n/a	n/a	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0
54.670457334	0.14999567202	-9	AttndFix	letters	0.827470875000017	1	2	4	10	2	1	1	1	1	0	1	121	4	tirl	n/a	n/a	n/a	0	0	n/a	3	n/a	pseudo	1	-9	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	54.670457334	54.8205695160002	54.5453143359998	55.4979282090001	1	1	1	54.6707304509998	0	1	0	1	0	0	n/a	58.5043932000001	1	2020	12	10	1	827.470875000017	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	0	0	n/a	n/a	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0
