onset	duration	trial_type	taskName	stimulusCategory	response_time	runNum	blockNum	blockTrial	trialNum	task	stimulusType	locationI	categoryI	sizeCondI	fixTargPres	whichStair	wordIndex	stringLength	string_1	string_2	string_3	string_4	stringFreqBin	stringFreq	ELP_FreqHAL	stringOrthN	ELP_MeanRT	stringCategory	gapLetterI	eccentricity	sizeSpacingCond	xHeightDeg	spacingCondition	fontSizeI	fontSizePoints	fontSpacingDeg	tstimulusOns	tresponseOns	tTrialStart	tRes	fixBreak	trialDone	nFixBreakSegs	tFixBreak	userQuit	chosenRes	responseTimeout	respCorrect	didRecalib	quitDuringRecalib	tFeedback	tTrialEnd	fixationTargColr	year	month	day	runNumber	RT
10.6764786089998	0.150005066039985	9	AttndFix	letters	0.75631	3	1	1	1	2	1	11	2	1	1	1	233	4	n/a	n/a	n/a	n/a	n/a	261.59	118268	11	603.882	real	1	9	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	10.6764786089998	10.826465782	10.6311896699999	11.4328	1	1	1	10.6787	0	1	0	0	0	0	n/a	14.5114962590001	0.75	2021	2	19	3	756.3059
14.6764580899999	0.150005066039985	-6	AttndFix	letters	0.57435	3	1	2	2	2	1	2	1	1	0	2	115	4	n/a	n/a	n/a	n/a	0	0	n/a	3	n/a	pseudo	1	-6	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	14.6764580899999	14.8264543360001	14.5509632349999	15.2508	0	1	0	n/a	0	1	0	1	0	0	n/a	18.5108077360001	1	2021	2	19	3	574.3535
18.676551686	0.150005066039985	1.5	AttndFix	letters	0.55053	3	1	3	3	2	1	7	1	1	0	2	8	4	n/a	n/a	n/a	n/a	0	0	n/a	0	n/a	pseudo	1	1.5	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	18.676551686	18.8264828470001	18.5385765639999	19.2271	1	1	1	18.6785	0	1	0	1	0	0	n/a	22.5111676629999	1	2021	2	19	3	550.5306
22.6765235580001	0.150005066039985	3	AttndFix	letters	0.54844	3	1	4	4	2	1	8	1	1	0	2	117	4	n/a	n/a	n/a	n/a	0	0	n/a	3	n/a	pseudo	1	3	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	22.6765235580001	22.8264583979999	22.5318591209998	23.225	1	1	1	22.7726	0	1	0	1	0	0	n/a	26.510589948	1	2021	2	19	3	548.4426
26.6765958159999	0.150005066039985	-6	AttndFix	letters	0.53031	3	1	5	5	2	1	2	1	1	0	2	90	4	n/a	n/a	n/a	n/a	0	0	n/a	2	n/a	pseudo	1	-6	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	26.6765958159999	26.826509729	26.5382381209997	27.2069	1	1	1	26.6769	0	1	0	1	0	0	n/a	30.5124291500001	1	2021	2	19	3	530.3074
30.6765840079997	0.150005066039985	6	AttndFix	letters	0.55224	3	1	6	6	2	1	10	1	1	1	2	39	4	n/a	n/a	n/a	n/a	0	0	n/a	1	n/a	pseudo	1	6	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	30.6765840079997	30.826573671	30.566011937	31.2288	0	1	0	n/a	0	1	0	0	0	0	n/a	34.5112486329999	0.880111736793393	2021	2	19	3	552.2428
42.6764787479997	0.150005066039985	1.5	AttndFix	shapes	1.6965	3	2	1	7	2	2	7	2	1	0	1	3	4	1	1	2	1	n/a	0	0	0	0	real	1	1.5	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	42.6764787479997	42.826547308	42.5497115620001	44.373	1	1	1	42.6771	0	1	0	1	0	0	n/a	46.510981334	0.75	2021	2	19	3	1696.4757
46.6764550419998	0.150005066039985	1.5	AttndFix	shapes	0.62045	3	2	2	8	2	2	7	1	1	1	1	2	4	1	1	1	2	n/a	0	0	0	0	pseudo	1	1.5	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	46.6764550419998	46.8264559589998	46.5330499639999	47.2969	1	1	1	46.6769	0	2	0	1	0	0	n/a	50.5105500649997	0.660083802595045	2021	2	19	3	620.4492
50.6765358120001	0.150005066039985	-4.5	AttndFix	shapes	1.4833	3	2	3	9	2	2	3	1	1	1	2	9	4	2	1	1	2	n/a	0	0	0	0	pseudo	2	-4.5	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	50.6765358120001	50.826513643	50.5315981459999	52.1598	1	1	1	50.6769	0	1	0	0	0	0	n/a	54.5103527430001	1	2021	2	19	3	1483.2939
54.6764955139997	0.150005066039985	4.5	AttndFix	shapes	1.0543	3	2	4	10	2	2	9	2	1	0	2	13	4	2	1	2	2	n/a	0	0	0	0	real	2	4.5	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	54.6764955139997	54.8265131650001	54.53686109	55.7308	0	1	0	n/a	0	1	0	1	0	0	n/a	58.5104214139997	1	2021	2	19	3	1054.296
