onset	duration	trial_type	taskName	stimulusCategory	response_time	runNum	blockNum	blockTrial	trialNum	task	stimulusType	locationI	categoryI	sizeCondI	fixTargPres	whichStair	wordIndex	stringLength	string_1	string_2	string_3	string_4	stringFreqBin	stringFreq	ELP_FreqHAL	stringOrthN	ELP_MeanRT	stringCategory	gapLetterI	eccentricity	sizeSpacingCond	xHeightDeg	spacingCondition	fontSizeI	fontSizePoints	fontSpacingDeg	tstimulusOns	tresponseOns	tTrialStart	tRes	fixBreak	trialDone	nFixBreakSegs	tFixBreak	userQuit	chosenRes	responseTimeout	respCorrect	didRecalib	quitDuringRecalib	tFeedback	tTrialEnd	fixationTargColr
10.6789111059988	0.149977425420075	3	AttndFix	letters	0.80005776300095	7	1	1	1	2	1	8	1	1	1	2	10	4	inom	n/a	n/a	n/a	0	0	n/a	0	n/a	pseudo	1	3	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	10.6789111059988	10.8290134939962	10.5937169690005	11.4789688689998	0	1	0	n/a	0	2	0	1	0	0	n/a	14.5130898999996	1
14.6785116030005	0.149977425420075	-4.5	AttndFix	letters	0.654514772999391	7	1	2	2	2	1	3	2	1	1	2	229	4	play	n/a	n/a	n/a	n/a	268.07	149546	6	537.909	real	1	-4.5	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	14.6785116030005	14.828420728998	14.5450290929948	15.3330263759999	0	1	0	n/a	0	2	0	1	0	0	n/a	18.5122100020017	1
18.6780417970003	0.149977425420075	-4.5	AttndFix	letters	0.588417384999047	7	1	3	3	2	1	3	1	1	0	1	43	4	wepy	n/a	n/a	n/a	0	0	n/a	1	n/a	pseudo	1	-4.5	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	18.6780417970003	18.8279872019993	18.5355813880014	19.2664591819994	0	1	0	n/a	0	1	0	1	0	0	n/a	22.511904676001	0.75
22.6775288089993	0.149977425420075	9	AttndFix	letters	0.518994869002199	7	1	4	4	2	1	11	1	1	0	1	124	4	trur	n/a	n/a	n/a	0	0	n/a	3	n/a	pseudo	1	9	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	22.6775288089993	22.8275082019973	22.5305031809985	23.1965236780015	0	1	0	n/a	0	1	0	1	0	0	n/a	26.5109302970013	0.75
26.6770765319961	0.149977425420075	9	AttndFix	letters	0.486154973004886	7	1	5	5	2	1	11	2	1	0	1	233	4	form	n/a	n/a	n/a	n/a	261.59	118268	11	603.882	real	1	9	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	26.6770765319961	26.8270757290011	26.5367026800013	27.163231505001	0	1	0	n/a	0	1	0	1	0	0	n/a	30.5117397119975	0.75
30.6766125849972	0.149977425420075	6	AttndFix	letters	0.601451419999648	7	1	6	6	2	1	10	1	1	0	1	122	4	tith	n/a	n/a	n/a	0	0	n/a	3	n/a	pseudo	1	6	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	30.6766125849972	30.8265854199999	30.549302458996	31.2780640049968	0	1	0	n/a	0	1	0	1	0	0	n/a	34.5100828229988	0.660083802595045
42.6752339149971	0.149977425420075	0	AttndFix	shapes	0.841903491003904	7	2	1	7	2	2	6	1	1	0	1	4	4	1	2	1	1	n/a	0	0	0	0	pseudo	2	0	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	42.6752339149971	42.825251313996	42.5399210329997	43.517137406001	0	1	0	n/a	0	2	0	0	0	0	n/a	46.5084903969982	0.580947501931112
46.6747723859953	0.149977425420075	-6	AttndFix	shapes	0.658818195006461	7	2	2	8	2	2	2	2	1	1	2	16	4	2	2	2	2	n/a	0	0	0	0	real	2	-6	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	46.6747723859953	46.8247443450018	46.5289481809959	47.3335905810018	0	1	0	n/a	0	1	0	0	0	0	n/a	50.5081778640015	1
50.6743686830014	0.149977425420075	-4.5	AttndFix	shapes	0.59291012599715	7	2	3	9	2	2	3	1	1	0	1	6	4	1	1	2	2	n/a	0	0	0	0	pseudo	1	-4.5	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	50.6743686830014	50.8243634550017	50.527591307	51.2672788089985	0	1	0	n/a	0	1	0	1	0	0	n/a	54.5078902429959	0.968245836551854
54.6738326919949	0.149977425420075	1.5	AttndFix	shapes	0.727381989003334	7	2	4	10	2	2	7	1	1	0	2	12	4	1	2	2	2	n/a	0	0	0	0	pseudo	2	1.5	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	54.6738326919949	54.8238122879993	54.5342130189965	55.4012146809982	0	1	0	n/a	0	1	0	1	0	0	n/a	58.5072893269971	1
