onset	duration	trial_type	trial_type_index	response_time	runNum	trialNum	task	categoryI	category	fixColorChange	fixColorChangeStimNum	fixColorChangeIncrement	stimRepeat	repeatStimNum	stim1File	stim1Index	stim2File	stim2Index	stim3File	stim3Index	stim4File	stim4Index	fontI	font	tstimulus1Ons	tISI1Ons	tstimulus2Ons	tISI2Ons	tstimulus3Ons	tISI3Ons	tstimulus4Ons	tISI4Ons	tTrialStart	tTrialEnd	tRes	fixBreak	trialDone	nFixBreakSegs	tFixBreak	userQuit	chosenRes	didRecalib	quitDuringRecalib	taskName
10.6566323540001	4	lowFreqWordsFoveaSloan	5	0.44247	3	1	1	5	lowFreqWordsFoveaSloan	1	3	2	1	2	lowFreqWordsFoveaSloan_Sloan_68.mat	68	lowFreqWordsFoveaSloan_Sloan_68.mat	68	lowFreqWordsFoveaSloan_Sloan_3.mat	3	lowFreqWordsFoveaSloan_Sloan_37.mat	37	2	Sloan	10.6831474239998	11.3831698489994	11.6831968890001	12.3832041939995	12.6831657799994	13.3831603319995	13.683206359	14.3831623690003	10.6566323540001	14.5718361230001	12.1257	1	1	1	10.6959	0	2	n/a	n/a	oneback
14.6146474739999	4	femaleFaces	10	0.3724	3	2	1	10	femaleFaces	0	0	0	1	2	femaleFaces_82.mat	82	femaleFaces_82.mat	82	femaleFaces_94.mat	94	femaleFaces_78.mat	78	0	n/a	14.6832077600002	15.3831485519995	15.6831739959998	16.3831708809994	16.6830737219998	17.383160544	17.6831489380002	18.383162526	14.6146474739999	18.5680616339996	16.0556	0	1	0	n/a	0	2	n/a	n/a	oneback
18.5862688739999	4	objects2	12	n/a	3	3	1	12	objects2	0	0	0	0	0	objects2_32.mat	32	objects2_22.mat	22	objects2_47.mat	47	objects2_71.mat	71	0	n/a	18.6831556569996	19.3831622469997	19.6831629819999	20.3832068399997	20.6831491069997	21.3831612200001	21.6831602669999	22.3831617750002	18.5862688739999	22.5679524870002	n/a	1	1	4	22.3842	0	n/a	n/a	n/a	oneback
22.5860403669994	4	lowFreqWords	2	n/a	3	4	1	2	lowFreqWords	0	0	0	0	0	lowFreqWords_Courier New_52.mat	52	lowFreqWords_Courier New_71.mat	71	lowFreqWords_Courier New_77.mat	77	lowFreqWords_Courier New_93.mat	93	1	Courier New	22.68318748	23.3831622600001	23.6831710500001	24.3831611409996	24.6830956590002	25.3832081660003	25.6831642269999	26.3831627789996	22.5860403669994	26.5678118229998	n/a	1	1	8	26.384	0	n/a	n/a	n/a	oneback
26.589603509	4	PseudoSloanFovea	8	0.39643	3	5	1	8	PseudoSloanFovea	0	0	0	1	2	lowFreqWordsFoveaSloan_PseudoSloan_68.mat	68	lowFreqWordsFoveaSloan_PseudoSloan_68.mat	68	lowFreqWordsFoveaSloan_PseudoSloan_3.mat	3	lowFreqWordsFoveaSloan_PseudoSloan_37.mat	37	3	PseudoSloan	26.6831660950002	27.3832039090003	27.6831494130001	28.3832028320003	28.683146542	29.3831493090001	29.6831657379998	30.3831720749995	26.589603509	30.5712453420001	28.0796	1	1	8	30.3841	0	2	n/a	n/a	oneback
30.6058430149997	4	objects1	11	n/a	3	6	1	11	objects1	0	0	0	0	0	objects1_82.mat	82	objects1_93.mat	93	objects1_34.mat	34	objects1_79.mat	79	0	n/a	30.6831839199995	31.3832045540003	31.6831990579994	32.3832016979995	32.6830882280001	33.3830777389994	33.6832067659998	34.383161752	30.6058430149997	34.5676928550001	n/a	1	1	8	34.384	0	n/a	n/a	n/a	oneback
34.5839208799998	4	highFreqWords	1	0.5133	3	7	1	1	highFreqWords	0	0	0	1	3	highFreqWords_Courier New_66.mat	66	highFreqWords_Courier New_59.mat	59	highFreqWords_Courier New_59.mat	59	highFreqWords_Courier New_85.mat	85	1	Courier New	34.6831605409998	35.3831970339997	35.6831498499996	36.3831480919998	36.6831622299997	37.3830901880001	37.6832060629995	38.383161537	34.5839208799998	38.5675475119997	37.1965	1	1	8	38.384	0	2	n/a	n/a	oneback
38.5830079749994	4	PseudoSloan	6	0.43967	3	8	1	6	PseudoSloan	1	3	1	1	2	pseudowords_PseudoSloan_34.mat	34	pseudowords_PseudoSloan_34.mat	34	pseudowords_PseudoSloan_71.mat	71	pseudowords_PseudoSloan_88.mat	88	3	PseudoSloan	38.6831803919995	39.3831170900003	39.6830898819999	40.3830859620002	40.6831952470002	41.3831622959997	41.6831466670001	42.3831633399996	38.5830079749994	42.5673156419998	40.1228	1	1	8	42.384	0	2	n/a	n/a	oneback
42.5830029130002	4	maleFaces	9	n/a	3	9	1	9	maleFaces	0	0	0	0	0	maleFaces_65.mat	65	maleFaces_61.mat	61	maleFaces_22.mat	22	maleFaces_59.mat	59	0	n/a	42.6831632389994	43.3831658600002	43.6831623010003	44.3831846229996	44.6831998769994	45.3832007680003	45.6831500019998	46.3831700969995	42.5830029130002	46.5675947729997	n/a	1	1	8	46.3841	0	n/a	n/a	n/a	oneback
46.5828333720001	4	maleFaces	9	n/a	3	10	1	9	maleFaces	1	3	1	0	0	maleFaces_68.mat	68	maleFaces_40.mat	40	maleFaces_90.mat	90	maleFaces_7.mat	7	0	n/a	46.6830826599999	47.3830947249999	47.683166064	48.3831717619996	48.6831475210001	49.3831472470001	49.6831593739998	50.3831968229997	46.5828333720001	50.5675671069994	n/a	1	1	8	50.3841	0	n/a	n/a	n/a	oneback
