onset	duration	trial_type	taskName	stimulusCategory	response_time	runNum	blockNum	blockTrial	trialNum	task	stimulusType	locationI	categoryI	sizeCondI	fixTargPres	whichStair	wordIndex	stringLength	string_1	string_2	string_3	string_4	stringFreqBin	stringFreq	ELP_FreqHAL	stringOrthN	ELP_MeanRT	stringCategory	gapLetterI	eccentricity	sizeSpacingCond	xHeightDeg	spacingCondition	fontSizeI	fontSizePoints	fontSpacingDeg	fixationTargColr	tstimulusOns	tresponseOns	tTrialStart	tRes	fixBreak	trialDone	nFixBreakSegs	tFixBreak	userQuit	chosenRes	responseTimeout	respCorrect	didRecalib	quitDuringRecalib	tFeedback	tTrialEnd	year	month	day	runNumber	RT
10.6782782609998	0.149999943959883	-3	AttndStim	shapes	1.67926067900044	8	1	1	1	1	2	4	1	1	1	1	3	4	1	1	2	1		0	0	0	0	pseudo	1	-3	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	1	10.6782782609998	10.8282157969998	10.6313869920004	12.3575389400003	1	1	1	10.6806140280005	0	1	0	1	0	0	NaN	14.5134216639999	2021	2	19	8	1679.26067900044
14.6782784570005	0.149999943959883	4.5	AttndStim	shapes	1.09196069599966	8	1	2	2	1	2	9	2	1	0	1	10	4	2	1	2	1		0	0	0	0	real	2	4.5	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	0.75	14.6782784570005	14.828298425	14.5500946319999	15.7702391530001	0	1	0	NaN	0	1	0	0	0	0	NaN	18.5126068110003	2021	2	19	8	1091.96069599966
18.6783001120002	0.149999943959883	-6	AttndStim	shapes	0.846219655999448	8	1	3	3	1	2	2	1	1	1	2	4	4	1	2	1	1		0	0	0	0	pseudo	2	-6	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	1	18.6783001120002	18.8282429800001	18.5363266690001	19.5245197679997	0	1	0	NaN	0	1	0	1	0	0	NaN	22.5129950259998	2021	2	19	8	846.219655999448
22.6782814240005	0.149999943959883	0	AttndStim	shapes	0.68215560399949	8	1	4	4	1	2	6	1	1	1	2	5	4	2	1	1	1		0	0	0	0	pseudo	2	0	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	0.75	22.6782814240005	22.8282634830002	22.5326854200002	23.360437028	1	1	1	22.6850428610005	0	1	0	1	0	0	NaN	26.5125647160003	2021	2	19	8	682.15560399949
26.6782974180005	0.149999943959883	-4.5	AttndStim	shapes	1.6401715209995	8	1	5	5	1	2	3	1	1	0	1	6	4	1	1	2	2		0	0	0	0	pseudo	2	-4.5	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	0.75	26.6782974180005	26.8282712299997	26.5404446029997	28.318468939	0	1	0	NaN	0	1	0	1	0	0	NaN	30.5143289389998	2021	2	19	8	1640.1715209995
30.6783126390001	0.149999943959883	9	AttndStim	shapes	0.794951527000194	8	1	6	6	1	2	11	1	1	0	1	2	4	1	1	1	2		0	0	0	0	pseudo	1	9	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	0.660083802595045	30.6783126390001	30.8282663959999	30.5467665329998	31.4732641660003	1	1	1	30.6810243569998	0	1	0	1	0	0	NaN	34.5128951070001	2021	2	19	8	794.951527000194
38.6783225099998	0.149999943959883	-9	AttndStim	shapes	1.15594243400028	8	2	1	7	1	2	1	1	1	0	1	14	4	2	2	1	2		0	0	0	0	pseudo	1	-9	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	1	38.6783225099998	38.8282765510003	38.5462784090005	39.8342649440001	1	1	1	38.6788954860003	0	1	0	1	0	0	NaN	42.5121861329999	2021	2	19	8	1155.94243400028
42.6782443089996	0.149999943959883	6	AttndStim	shapes	2.53922542400051	8	2	2	8	1	2	10	2	1	1	1	5	4	2	1	1	1		0	0	0	0	real	2	6	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	0.880111736793393	42.6782443089996	42.8282603070002	42.5296545150004	45.2174697330001	0	1	0	NaN	0	2	0	1	0	0	NaN	46.5124498579999	2021	2	19	8	2539.22542400051
46.6782310179997	0.149999943959883	6	AttndStim	shapes	1.35329640100008	8	2	3	9	1	2	10	1	1	1	2	16	4	2	2	2	2		0	0	0	0	pseudo	2	6	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	0.774596669241483	46.6782310179997	46.8282982030005	46.5294733669998	48.0315274189998	1	1	1	46.6787732640005	0	2	0	0	0	0	NaN	50.5126799589998	2021	2	19	8	1353.29640100008
50.6783201819999	0.149999943959883	-4.5	AttndStim	shapes	1.21719594600017	8	2	4	10	1	2	3	2	1	1	2	8	4	1	2	2	1		0	0	0	0	real	2	-4.5	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	0.580947501931112	50.6783201819999	50.8282791399997	50.5304908959997	51.8955161280001	1	1	1	50.6789218519998	0	2	0	1	0	0	NaN	54.5124881900001	2021	2	19	8	1217.19594600017
