onset	duration	trial_type	taskName	stimulusCategory	response_time	runNum	blockNum	blockTrial	trialNum	task	stimulusType	locationI	categoryI	sizeCondI	fixTargPres	whichStair	wordIndex	stringLength	string_1	string_2	string_3	string_4	stringFreqBin	stringFreq	ELP_FreqHAL	stringOrthN	ELP_MeanRT	stringCategory	gapLetterI	eccentricity	sizeSpacingCond	xHeightDeg	spacingCondition	fontSizeI	fontSizePoints	fontSpacingDeg	tstimulusOns	tresponseOns	tTrialStart	tRes	fixBreak	trialDone	nFixBreakSegs	tFixBreak	userQuit	chosenRes	responseTimeout	respCorrect	didRecalib	quitDuringRecalib	tFeedback	tTrialEnd	fixationTargColr	year	month	day	runNumber	RT
10.6808357919999	0.14998503509998	1.5	AttndFix	shapes	0.647475255000018	1	1	1	1	2	2	7	1	1	1	2	15	4	2	2	2	1	n/a	0	0	0	0	pseudo	1	1.5	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	10.6808357919999	10.830861312	10.6294920610001	11.3283110469999	0	1	0	n/a	0	2	0	1	0	0	n/a	14.5155491769999	1	2021	4	9	1	647.475255000018
14.6808940989999	0.14998503509998	-4.5	AttndFix	shapes	0.506520447999947	1	1	2	2	2	2	3	1	1	1	2	5	4	2	1	1	1	n/a	0	0	0	0	pseudo	1	-4.5	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	14.6808940989999	14.830940649	14.5512729090001	15.1874145469999	0	1	0	n/a	0	2	0	1	0	0	n/a	18.514958748	1	2021	4	9	1	506.520447999947
18.6809437669999	0.14998503509998	6	AttndFix	shapes	0.578309490000038	1	1	3	3	2	2	10	2	1	1	1	3	4	1	1	2	1	n/a	0	0	0	0	real	1	6	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	18.6809437669999	18.8309416659999	18.5406041829999	19.259253257	0	1	0	n/a	0	2	0	1	0	0	n/a	22.515533966	0.75	2021	4	9	1	578.309490000038
22.6808359250001	0.14998503509998	-9	AttndFix	shapes	0.635560951999878	1	1	4	4	2	2	1	2	1	0	1	15	4	2	2	2	1	n/a	0	0	0	0	real	2	-9	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	22.6808359250001	22.8308591990001	22.53604969	23.316396877	0	1	0	n/a	0	1	0	1	0	0	n/a	26.5147032499999	0.75	2021	4	9	1	635.560951999878
26.6808561349999	0.14998503509998	-1.5	AttndFix	shapes	1.02564817200005	1	1	5	5	2	2	5	2	1	0	1	3	4	1	1	2	1	n/a	0	0	0	0	real	1	-1.5	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	26.6808561349999	26.8308487100001	26.5426891889999	27.7065043069999	0	1	0	n/a	0	1	0	1	0	0	n/a	30.5161397659999	0.75	2021	4	9	1	1025.64817200005
30.680904696	0.14998503509998	6	AttndFix	shapes	0.400592738000114	1	1	6	6	2	2	10	1	1	1	1	11	4	2	2	1	1	n/a	0	0	0	0	pseudo	1	6	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	30.680904696	30.8308616009999	30.561221729	31.0814974340001	0	1	0	n/a	0	2	0	1	0	0	n/a	34.514757058	0.660083802595045	2021	4	9	1	400.592738000114
40.680921164	0.14998503509998	-4.5	AttndFix	letters	0.68547164000006	1	2	1	7	2	1	3	2	1	0	2	229	4	play	n/a	n/a	n/a	high	268.07	149546	6	537.909	real	1	-4.5	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	40.680921164	40.830834608	40.543955264	41.366392804	0	1	0	n/a	0	1	0	1	0	0	n/a	44.5145056890001	1	2021	4	9	1	685.47164000006
44.680935269	0.14998503509998	3	AttndFix	letters	0.6675237930001	1	2	2	8	2	1	8	2	1	0	1	197	4	says	n/a	n/a	n/a	high	412.4	199458	17	582.059	real	1	3	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	44.680935269	44.8309421409999	44.5361154	45.3484590620001	0	1	0	n/a	0	1	0	1	0	0	n/a	48.5145294229999	0.580947501931112	2021	4	9	1	667.5237930001
48.6809101260001	0.14998503509998	-6	AttndFix	letters	0.544653902999926	1	2	3	9	2	1	2	1	1	1	2	85	4	thir	n/a	n/a	n/a	0	0	n/a	2	n/a	pseudo	1	-6	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	48.6809101260001	48.830901327	48.533956002	49.225564029	0	1	0	n/a	0	2	0	1	0	0	n/a	52.5144894560001	0.880111736793393	2021	4	9	1	544.653902999926
52.6809097989999	0.14998503509998	3	AttndFix	letters	0.576298319000216	1	2	4	10	2	1	8	1	1	0	2	63	4	itis	n/a	n/a	n/a	0	0	n/a	2	n/a	pseudo	1	3	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	52.6809097989999	52.8309035790001	52.5434937729999	53.2572081180001	0	1	0	n/a	0	1	0	1	0	0	n/a	56.514551899	0.774596669241483	2021	4	9	1	576.298319000216
