onset	duration	trial_type	taskName	stimulusCategory	response_time	runNum	blockNum	blockTrial	trialNum	task	stimulusType	locationI	categoryI	sizeCondI	fixTargPres	whichStair	wordIndex	stringLength	string_1	string_2	string_3	string_4	stringFreqBin	stringFreq	ELP_FreqHAL	stringOrthN	ELP_MeanRT	stringCategory	gapLetterI	eccentricity	sizeSpacingCond	xHeightDeg	spacingCondition	fontSizeI	fontSizePoints	fontSpacingDeg	fixationTargColr	tstimulusOns	tresponseOns	tTrialStart	tRes	fixBreak	trialDone	nFixBreakSegs	tFixBreak	userQuit	chosenRes	responseTimeout	respCorrect	didRecalib	quitDuringRecalib	tFeedback	tTrialEnd	year	month	day	runNumber	RT
10.6791274999996	0.149998968899963	0	AttndStim	letters	0.92564	4	1	1	1	1	1	6	2	1	0	2	159	4	n/a	n/a	n/a	n/a	high	780.6	273917	8	659.469	real	1	0	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	0.75	10.6791274999996	10.8290701639999	10.6337398300002	11.6048	0	1	0	n/a	0	2	0	1	0	0	n/a	14.5143760969995	2021	3	11	4	925.6415
14.6791312899995	0.149998968899963	6	AttndStim	letters	1.1388	4	1	2	2	1	1	10	2	1	1	2	212	4	n/a	n/a	n/a	n/a	high	322.33	71926	5	548.406	real	1	6	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	0.75	14.6791312899995	14.8291009100003	14.5517095160003	15.818	1	1	1	14.7043	0	2	0	1	0	0	n/a	18.5134995389999	2021	3	11	4	1138.831
18.6791330349997	0.149998968899963	1.5	AttndStim	letters	0.77748	4	1	3	3	1	1	7	2	1	1	2	262	4	n/a	n/a	n/a	n/a	high	205.37	75014	2	522.781	real	1	1.5	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	0.75	18.6791330349997	18.8290740169996	18.5376056949999	19.4566	0	1	0	n/a	0	2	0	1	0	0	n/a	22.5137632779997	2021	3	11	4	777.4811
22.6790997030002	0.149998968899963	-1.5	AttndStim	letters	0.79377	4	1	4	4	1	1	5	1	1	0	1	5	4	n/a	n/a	n/a	n/a	0	0	n/a	0	n/a	pseudo	1	-1.5	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	1	22.6790997030002	22.8291077579997	22.53382169	23.4729	0	1	0	n/a	0	2	0	0	0	0	n/a	26.5134217939994	2021	3	11	4	793.7668
26.6792065689997	0.149998968899963	9	AttndStim	letters	1.1123	4	1	5	5	1	1	11	1	1	0	2	44	4	n/a	n/a	n/a	n/a	0	0	n/a	1	n/a	pseudo	1	9	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	0.75	26.6792065689997	26.8291045999995	26.542309683	27.7915	1	1	1	26.6801	0	1	0	1	0	0	n/a	30.5147967519997	2021	3	11	4	1112.3417
30.6791000860003	0.149998968899963	9	AttndStim	letters	1.0278	4	1	6	6	1	1	11	2	1	0	2	230	4	n/a	n/a	n/a	n/a	high	266.23	297695	9	617.382	real	1	9	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	0.660083802595045	30.6791000860003	30.8291796779995	30.5513626880002	31.7069	0	1	0	n/a	0	2	0	1	0	0	n/a	34.5140409380001	2021	3	11	4	1027.83
42.6790786579995	0.149998968899963	3	AttndStim	shapes	3.0946	4	2	1	7	1	2	8	1	1	1	2	14	4	2	2	1	2	n/a	0	0	0	0	pseudo	2	3	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	1	42.6790786579995	42.8290912960001	42.5467511090001	45.7737	1	1	1	42.6795	0	1	0	1	0	0	n/a	46.5132468579995	2021	3	11	4	3094.6437
46.6791007780002	0.149998968899963	6	AttndStim	shapes	1.0696	4	2	2	8	1	2	10	1	1	1	1	5	4	2	1	1	1	n/a	0	0	0	0	pseudo	2	6	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	1	46.6791007780002	46.8291012979998	46.531434255	47.7487	0	1	0	n/a	0	1	0	1	0	0	n/a	50.5129625070003	2021	3	11	4	1069.6193
50.6790995649999	0.149998968899963	-1.5	AttndStim	shapes	1.5654	4	2	3	9	1	2	5	2	1	1	2	14	4	2	2	1	2	n/a	0	0	0	0	real	2	-1.5	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	1	50.6790995649999	50.8290924989997	50.5308029950002	52.2445	0	1	0	n/a	0	1	0	0	0	0	n/a	54.5130556069998	2021	3	11	4	1565.4344
54.6791481239998	0.149998968899963	-6	AttndStim	shapes	1.5695	4	2	4	10	1	2	2	2	1	1	2	16	4	2	2	2	2	n/a	0	0	0	0	real	1	-6	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	1	54.6791481239998	54.8290981230002	54.5315112830003	56.2486	0	1	0	n/a	0	2	0	1	0	0	n/a	58.5129402969997	2021	3	11	4	1569.4548
58.6790920049998	0.149998968899963	-9	AttndStim	shapes	0.79478	4	2	5	11	1	2	1	2	1	1	2	16	4	2	2	2	2	n/a	0	0	0	0	real	2	-9	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	1	58.6790920049998	58.8291038910002	58.5305345329998	59.4739	0	1	0	n/a	0	2	0	1	0	0	n/a	62.5131140610001	2021	3	11	4	794.7799
62.6791426069994	0.149998968899963	-6	AttndStim	shapes	1.9714	4	2	6	12	1	2	2	2	1	1	2	5	4	2	1	1	1	n/a	0	0	0	0	real	1	-6	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	0.880111736793393	62.6791426069994	62.8291103789998	62.5310092379996	64.6505	1	1	1	62.6795	0	2	0	1	0	0	n/a	66.5130660750001	2021	3	11	4	1971.3887
