onset	duration	trial_type	taskName	stimulusCategory	response_time	runNum	blockNum	blockTrial	trialNum	task	stimulusType	locationI	categoryI	sizeCondI	fixTargPres	whichStair	wordIndex	stringLength	string_1	string_2	string_3	string_4	stringFreqBin	stringFreq	ELP_FreqHAL	stringOrthN	ELP_MeanRT	stringCategory	gapLetterI	eccentricity	sizeSpacingCond	xHeightDeg	spacingCondition	fontSizeI	fontSizePoints	fontSpacingDeg	tstimulusOns	tresponseOns	tTrialStart	tRes	fixBreak	trialDone	nFixBreakSegs	tFixBreak	userQuit	chosenRes	responseTimeout	respCorrect	didRecalib	quitDuringRecalib	tFeedback	tTrialEnd	fixationTargColr	year	month	day	runNumber	RT	edfMatchesMat	edfTStart	edfTFixOn	edfTStimOn	edfTStimOff	edfTRespInterval	edfFixBreak	edfTFixBreak	onlineFixBreak	onlineFixBreakInBlink	propBadSamples	horizGazeSD	vertGazeSD	timeOfFirstDevRelStimOns	timeOfMaxDevRelStimOns	maxEyeDev	eyeDevAngle	nBlinksInFixtnInterval	nBlinksInPostStimInterval	medianITIGazeX	medianITIGazeY	meanITIGazeX	meanITIGazeY	medGazeXDuringStim	medGazeYDuringStim	offlineFixBreak	blinkDuringFixBreak	lookedAtOtherStimLoc	breakPosX	breakPosY	correctedBreakPosX	correctedBreakPosY	lookedAtOtherLoc_PostStim	breakPosX_postStim	breakPosY_postStim	correctedBreakPosX_postStim	correctedBreakPosY_postStim	postStimBreakTStart	nPostStimSaccs	postStimSac1_endX	postStimSac1_endY	postStimSac1_dx	postStimSac1_RT	postStimSac2_endX	postStimSac2_endY	postStimSac2_dx	postStimSac2_RT	hasEDFFile
10.6868186880001	0.149998535100131	1.5	AttndFix	shapes	0.669872795999254	1	1	1	1	2	2	7	2	1	1	1	5	4	2	1	1	1		0	0	0	0	real	2	1.5	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	10.6868186880001	10.8367644779992	10.6450906779992	11.3566914839994	1	1	1	10.689572936999	0	1	0	0	0	0	NaN	14.5221464059996	0.75	2020	12	3	1	669.872795999254	1	83571628	NaN	83571670	83571819	83571819	1	83571672	1	NaN	0	26.2340512798977	6.67501705981527	NaN	132	1.15306663988385	156.177045549414	0	0	2.00012577055934	-0.69141515851747	1.98347649354224	-0.714718615020143	1.73572861394226	-0.722390557619052	0	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
14.6868177380002	0.149998535100131	9	AttndFix	shapes	0.487862058000246	1	1	2	2	2	2	11	2	1	0	1	7	4	1	2	1	2		0	0	0	0	real	2	9	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	14.6868177380002	14.8367982189993	14.5592161610002	15.1746797960004	1	1	1	14.6887910269998	0	1	0	1	0	0	NaN	18.5214165500001	0.75	2020	12	3	1	487.862058000246	1	83575542	NaN	83575670	83575820	83575820	1	83575671	1	NaN	0	40.851677958054	22.0376386959417	NaN	45	0.334462033142912	29.7448812969424	0	0	2.65337481232664	-1.1991904509327	2.61191755942193	-1.18456563749974	2.75625738791404	-1.04707911605886	0	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
18.6868474250005	0.149998535100131	0	AttndFix	shapes	0.409597123998537	1	1	3	3	2	2	6	2	1	0	1	2	4	1	1	1	2		0	0	0	0	real	1	0	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	18.6868474250005	18.8367686849997	18.5477670599994	19.096444548999	1	1	1	18.6885887839999	0	1	0	1	0	0	NaN	22.5221263219992	0.75	2020	12	3	1	409.597123998537	1	83579530	NaN	83579671	83579820	83579820	1	83579671	1	NaN	0	9.35320168114244	11.3486185259879	NaN	149	0.383764090062321	-46.1095654645052	0	0	2.86854320965728	-1.63948362387662	2.85271809950913	-1.6402524775329	2.90283740151975	-1.33083589711443	0	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
22.686854652	0.149998535100131	-1.5	AttndFix	shapes	0.427775292000661	1	1	4	4	2	2	5	1	1	1	1	14	4	2	2	1	2		0	0	0	0	pseudo	1	-1.5	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	22.686854652	22.8368206270006	22.5425599200007	23.1146299440006	1	1	1	22.687486507999	0	1	0	0	0	0	NaN	26.5210535839997	0.75	2020	12	3	1	427.775292000661	1	83583525	NaN	83583670	83583819	83583819	1	83583670	1	NaN	0.0328571428571429	NaN	NaN	99	99	44.1941738241592	45	4	0	NaN	NaN	NaN	NaN	3.55663957541386	-1.88064923116752	0	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
26.6868548700004	0.149998535100131	-3	AttndFix	shapes	0.462701346999893	1	1	5	5	2	2	4	1	1	0	1	7	4	1	2	1	2		0	0	0	0	pseudo	2	-3	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	26.6868548700004	26.8368365099996	26.5500956199994	27.1495562170003	1	1	1	26.6873866780006	0	1	0	1	0	0	NaN	30.5234810399998	0.75	2020	12	3	1	462.701346999893	1	83587533	NaN	83587669	83587819	83587819	1	83587670	1	NaN	0	15.9985757183359	14.6397213484698	NaN	104	0.413644098302478	-133.103481696791	0	0	2.65448107658027	-1.71139080036244	2.61237665908719	-1.68152166551449	2.55878921864145	-1.48350036411508	0	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
30.6868145739991	0.149998535100131	4.5	AttndFix	shapes	0.559988332001012	1	1	6	6	2	2	9	2	1	1	1	9	4	2	1	1	2		0	0	0	0	real	1	4.5	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	30.6868145739991	30.836804741999	30.5782735760004	31.2468029060001	1	1	1	30.6871868719991	0	1	0	0	0	0	NaN	34.5210465590008	0.660083802595045	2020	12	3	1	559.988332001012	1	83591561	NaN	83591670	83591819	83591819	1	83591670	1	NaN	0.0471428571428571	NaN	NaN	1	104	1.73442487945114	176.26979215404	0	0	1.21025309346898	-0.858461060815291	1.21362719944254	-0.87841253662947	1.06422621199009	-1.08967028982353	1	0	1	1.06422621199009	-1.08967028982353	-1.58914860033655	0.109520161109168	1	1.01831624546453	-1.13779278485635	-1.58914860033655	0.109520161109168	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
40.6868164179996	0.149998535100131	3	AttndFix	letters	0.498567697999533	1	2	1	7	2	1	8	1	1	0	1	74	4	onow				0	0	NaN	2	NaN	pseudo	1	3	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	40.6868164179996	40.8368247819999	40.5473121089999	41.1853841159991	1	1	1	40.6870940169993	0	1	0	1	0	0	NaN	44.5206781870002	1	2020	12	3	1	498.567697999533	1	83601530	NaN	83601669	83601820	83601820	1	83601669	1	NaN	0	70.4150542765658	12.9440187349063	NaN	119	0.466497761336896	43.9190758133394	0	0	2.58921148561622	-1.48128783560783	2.5176693763341	-1.51840853263831	2.55768295438782	-1.36402382472326	0	0	0	NaN	NaN	NaN	NaN	1	4.35978742354776	-1.57974535418071	NaN	NaN	66	2	2.21557073395338	-0.185299262482681	1.85188636057319	210	1.4091040930586	0.155430127634727	-0.460205929509227	362	1
44.686821199999	0.149998535100131	6	AttndFix	letters	0.453633762001118	1	2	2	8	2	1	10	1	1	0	2	72	4	oner				0	0	NaN	2	NaN	pseudo	1	6	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	44.686821199999	44.8368228969994	44.54163023	45.1404549620001	1	1	1	44.6871211809994	0	1	0	1	0	0	NaN	48.5206596709995	1	2020	12	3	1	453.633762001118	1	83605524	NaN	83605669	83605819	83605819	1	83605670	1	NaN	0	17.3915424662743	4.26787134919268	NaN	133	0.997055180794098	-4.29509646338514	0	0	3.39844378714507	-1.7058594790943	3.43297582582206	-1.70385160947397	3.41005956180816	-1.67045902297821	0	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
48.6868179199992	0.149998535100131	9	AttndFix	letters	0.42889071799982	1	2	3	9	2	1	11	2	1	0	1	243	4	turn				high	235.59	89685	7	585.303	real	1	9	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	48.6868179199992	48.8367724349991	48.5402982699998	49.115708637999	1	1	1	48.6870978400002	0	1	0	1	0	0	NaN	52.5206358190007	0.880111736793393	2020	12	3	1	428.89071799982	1	83609523	NaN	83609670	83609820	83609820	1	83609670	1	NaN	1	NaN	NaN	1	1	44.1941738241592	45	1	NaN	NaN	NaN	NaN	NaN	33.7957906136613	29.6564263426489	1	1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
52.6867402450007	0.149998535100131	-4.5	AttndFix	letters	0.467914940998526	1	2	4	10	2	1	3	1	1	1	1	17	4	woto				0	0	NaN	0	NaN	pseudo	1	-4.5	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	52.6867402450007	52.8368214809998	52.5458756570006	53.1546551859992	1	1	1	52.6870177599994	0	1	0	0	0	0	NaN	56.5206918450003	0.825670406324763	2020	12	3	1	467.914940998526	1	83613528	NaN	83613670	83613819	83613819	1	83613670	1	NaN	0.902857142857143	NaN	NaN	1	1	44.1941738241592	45	1	NaN	NaN	NaN	NaN	NaN	33.7957906136613	29.6564263426489	1	1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
