onset	trial_type	trial_type_index	response_time	runNum	trialNum	task	categoryI	category	fixColorChange	fixColorChangeStimNum	fixColorChangeIncrement	stimRepeat	repeatStimNum	baseFont	stim1File	stim1Index	stim2File	stim2Index	stim3File	stim3Index	stim4File	stim4Index	duration	tstimulus1Ons	tISI1Ons	tstimulus2Ons	tISI2Ons	tstimulus3Ons	tISI3Ons	tstimulus4Ons	tISI4Ons	tTrialStart	tTrialEnd	tRes	fixBreak	trialDone	nFixBreakSegs	tFixBreak	userQuit	chosenRes	didRecalib	quitDuringRecalib	taskName
15.3699230740003	femaleFaces	8	0.704369156999746	1	1	1	8	femaleFaces	1	2	4	1	2	0	femaleFaces_36.mat	36	femaleFaces_36.mat	36	femaleFaces_41.mat	41	femaleFaces_31.mat	31	4	15.3822312900002	16.0815785989998	16.3821235610003	17.081637235	17.3813881960004	18.0809732910002	18.3820687010002	19.0807508549997	15.3699230740003	19.2736248210003	17.086492718	1	1	8	19.0950547860002	0	2	NaN	NaN	oneback
19.3053765619998	lowFreqWords	2	NaN	1	2	1	2	lowFreqWords	0	0	0	0	0	0	lowFreqWords_Sloan_83.mat	83	lowFreqWords_Sloan_44.mat	44	lowFreqWords_Sloan_65.mat	65	lowFreqWords_Sloan_51.mat	51	4	19.3807521790004	20.0807150150004	20.3806076809997	21.0807915770001	21.3794559469998	22.0802520440002	22.3801040440003	23.080153162	19.3053765619998	23.2647611920002	NaN	1	1	8	23.0924880279999	0	NaN	NaN	NaN	oneback
23.2819214430001	objects1	9	NaN	1	3	1	9	objects1	1	4	3	0	0	0	objects1_50.mat	50	objects1_36.mat	36	objects1_18.mat	18	objects1_72.mat	72	4	23.3808961519999	24.0803511129998	24.3810934450003	25.0804749070003	25.3815542419998	26.0802593220005	26.3801166880003	27.0796437640001	23.2819214430001	27.2668045190003	25.085695584	1	1	8	27.0917073190003	0	2	NaN	NaN	oneback
27.2843558630002	consonants	4	NaN	1	4	1	4	consonants	0	0	0	0	0	0	consonants_Courier New_71.mat	71	consonants_Courier New_4.mat	4	consonants_Courier New_96.mat	96	consonants_Courier New_14.mat	14	4	27.3797010890003	28.079800947	28.3796804700005	29.0795973140002	29.3798531940001	30.080036974	30.3798730680001	31.0796599650002	27.2843558630002	31.2691598350002	NaN	1	1	8	31.0928175019999	0	NaN	NaN	NaN	oneback
31.2901465080004	PseudoSloan	5	0.797556478999468	1	5	1	5	PseudoSloan	0	0	0	1	4	0	pseudowords_PseudoSloan_52.mat	52	pseudowords_PseudoSloan_20.mat	20	pseudowords_PseudoSloan_92.mat	92	pseudowords_PseudoSloan_92.mat	92	4	31.3791001529999	32.0792982310004	32.3795461740001	33.0794299099998	33.3791752899997	34.0791751329998	34.3793657570004	35.0792389670005	31.2901465080004	35.2738178629997	35.1769222359999	1	1	8	35.0916912900002	0	5	NaN	NaN	oneback
35.3017471129997	objects1	9	0.80685742300011	1	6	1	9	objects1	0	0	0	1	2	0	objects1_55.mat	55	objects1_55.mat	55	objects1_89.mat	89	objects1_1.mat	1	4	35.379540379	36.0789237239997	36.3796136580004	37.078320392	37.3791816889998	38.0787678739998	38.3794016040001	39.0786066500004	35.3017471129997	39.269292168	37.1864710810005	1	1	8	39.0908867369999	0	5	NaN	NaN	oneback
39.2846982740002	femaleFaces	8	0.402582245000303	1	7	1	8	femaleFaces	0	0	0	1	3	0	femaleFaces_90.mat	90	femaleFaces_80.mat	80	femaleFaces_80.mat	80	femaleFaces_83.mat	83	4	39.3966696260004	40.0950992320004	40.3962211839998	41.0942097679999	41.395775297	42.0948068200005	42.395758359	43.0945851180004	39.2846982740002	43.2809879490005	41.7983575420003	1	1	8	43.1078925029997	0	2	NaN	NaN	oneback
43.2963029860002	PseudoSloan	5	NaN	1	8	1	5	PseudoSloan	0	0	0	0	0	0	consonants_PseudoSloan_77.mat	77	consonants_PseudoSloan_6.mat	6	consonants_PseudoSloan_21.mat	21	consonants_PseudoSloan_27.mat	27	4	43.3777595769998	44.0781642020002	44.3779418949998	45.0782933669998	45.3780097050003	46.0779017610002	46.3775820560004	47.0776807490001	43.2963029860002	47.2640843270001	46.0821921309998	1	1	8	47.0899548389998	0	3	NaN	NaN	oneback
47.279893377	pseudowords	3	NaN	1	9	1	3	pseudowords	0	0	0	0	0	0	pseudowords_Courier New_6.mat	6	pseudowords_Courier New_45.mat	45	pseudowords_Courier New_59.mat	59	pseudowords_Courier New_60.mat	60	4	47.3943987190005	48.0940899090001	48.3945358020001	49.0942652399999	49.3941867780004	50.0942697370001	50.3942703370003	51.0942680409999	47.279893377	51.2822410500003	NaN	1	1	8	51.1063826850004	0	NaN	NaN	NaN	oneback
51.297500656	PseudoSloan	5	0.704124503999992	1	10	1	5	PseudoSloan	1	4	5	1	3	0	lowFreqWords_PseudoSloan_75.mat	75	lowFreqWords_PseudoSloan_8.mat	8	lowFreqWords_PseudoSloan_8.mat	8	lowFreqWords_PseudoSloan_92.mat	92	4	51.3938028399998	52.0935981270004	52.3937817140004	53.0937125910004	53.3937696450002	54.0937253829998	54.3938977549997	55.0935434310004	51.297500656	55.281911344	54.0978941490002	1	1	8	55.105878544	0	2	NaN	NaN	oneback
55.2972628349999	lowFreqWords	2	NaN	1	11	1	2	lowFreqWords	0	0	0	0	0	0	lowFreqWords_Courier New_79.mat	79	lowFreqWords_Courier New_94.mat	94	lowFreqWords_Courier New_30.mat	30	lowFreqWords_Courier New_84.mat	84	4	55.3937779079997	56.0935790390004	56.3928110440002	57.0930130120005	57.3927746219997	58.0932070850004	58.3929538109996	59.093156891	55.2972628349999	59.2809298600005	NaN	1	1	8	59.1054749470004	0	NaN	NaN	NaN	oneback
59.2963822379998	objects2	10	NaN	1	12	1	10	objects2	1	4	4	0	0	0	objects2_77.mat	77	objects2_62.mat	62	objects2_93.mat	93	objects2_28.mat	28	4	59.3938292769999	60.09198578	60.3935600200002	61.0932601479999	61.3928708069998	62.0926667579997	62.3930049250002	63.0924410870002	59.2963822379998	63.279514672	NaN	1	1	8	63.1043181699997	0	NaN	NaN	NaN	oneback
63.2948380180005	PseudoCourier	6	0.704479480999908	1	13	1	6	PseudoCourier	0	0	0	1	2	0	highFreqWords_BACS2_2.mat	2	highFreqWords_BACS2_2.mat	2	highFreqWords_BACS2_21.mat	21	highFreqWords_BACS2_6.mat	6	4	63.3924569430001	64.0924494660003	64.3924606600003	65.092685568	65.3927052919998	66.0927795300004	66.3920176410002	67.0922112600001	63.2948380180005	67.2823223650003	65.0969401410002	1	1	8	67.1049984250003	0	2	NaN	NaN	oneback
67.2970704320005	maleFaces	7	0.703220936999969	1	14	1	7	maleFaces	1	3	3	1	4	0	maleFaces_86.mat	86	maleFaces_16.mat	16	maleFaces_58.mat	58	maleFaces_58.mat	58	4	67.3929257770005	68.0922420530005	68.3926960260005	69.0918653090002	69.3926870619998	70.091976062	70.3927870959997	71.0921748850005	67.2970704320005	71.2777358880003	71.0960080329996	1	1	8	71.1039551960002	0	2	NaN	NaN	oneback
