onset	duration	trial_type	trial_type_index	response_time	runNum	trialNum	task	categoryI	category	fixColorChange	fixColorChangeStimNum	fixColorChangeIncrement	stimRepeat	repeatStimNum	stim1File	stim1Index	stim2File	stim2Index	stim3File	stim3Index	stim4File	stim4Index	fontI	font	tstimulus1Ons	tISI1Ons	tstimulus2Ons	tISI2Ons	tstimulus3Ons	tISI3Ons	tstimulus4Ons	tISI4Ons	tTrialStart	tTrialEnd	tRes	fixBreak	trialDone	nFixBreakSegs	tFixBreak	userQuit	chosenRes	didRecalib	quitDuringRecalib	taskName
10.6586337450008	4	objects2	12	n/a	1	1	1	12	objects2	1	4	3	0	0	objects2_43.mat	43	objects2_84.mat	84	objects2_70.mat	70	objects2_85.mat	85	0	n/a	10.6830847560004	11.3831474970002	11.6830920880002	12.3831440330005	12.683080451	13.3830748010005	13.6831180360005	14.3831650470001	10.6586337450008	14.5716708489999	n/a	1	1	1	10.6861	0	n/a	n/a	n/a	oneback
14.6042548570003	4	lowFreqWordsFoveaSloan	5	0.75104	1	2	1	5	lowFreqWordsFoveaSloan	0	0	0	1	3	lowFreqWordsFoveaSloan_Sloan_21.mat	21	lowFreqWordsFoveaSloan_Sloan_53.mat	53	lowFreqWordsFoveaSloan_Sloan_53.mat	53	lowFreqWordsFoveaSloan_Sloan_20.mat	20	2	Sloan	14.6830792700002	15.3830822200007	15.6830749660003	16.3830653590003	16.6831672750004	17.3830912760004	17.6830984520002	18.3831455630007	14.6042548570003	18.5681984530002	17.4342	0	1	0	n/a	0	3	n/a	n/a	oneback
18.5874278150004	4	PseudoCourier	7	n/a	1	3	1	7	PseudoCourier	0	0	0	0	0	consonants_BACS2_59.mat	59	consonants_BACS2_20.mat	20	consonants_BACS2_6.mat	6	consonants_BACS2_70.mat	70	4	BACS2	18.6830671930002	19.3831523950003	19.6830711440007	20.3830731780008	20.6831468210003	21.3831483090007	21.68307052	22.3830749650006	18.5874278150004	22.5677355289999	n/a	0	1	0	n/a	0	n/a	n/a	n/a	oneback
22.586570642	4	lowFreqWords	2	n/a	1	4	1	2	lowFreqWords	0	0	0	0	0	lowFreqWords_Sloan_29.mat	29	lowFreqWords_Sloan_87.mat	87	lowFreqWords_Sloan_77.mat	77	lowFreqWords_Sloan_14.mat	14	2	Sloan	22.6830868960005	23.3830667540005	23.6830814410005	24.3831016350005	24.6831456550008	25.3831457260003	25.6831413170003	26.3832005460008	22.586570642	26.5678319470007	n/a	0	1	0	n/a	0	n/a	n/a	n/a	oneback
26.5898190460002	4	maleFaces	9	n/a	1	5	1	9	maleFaces	0	0	0	0	0	maleFaces_67.mat	67	maleFaces_33.mat	33	maleFaces_18.mat	18	maleFaces_58.mat	58	0	n/a	26.6830737270002	27.3830880300002	27.6830902930005	28.3830817120006	28.6830913310005	29.3830798470008	29.6830795830001	30.3831855230001	26.5898190460002	30.57127279	n/a	0	1	0	n/a	0	n/a	n/a	n/a	oneback
30.6034713600002	4	highFreqWords	1	n/a	1	6	1	1	highFreqWords	1	3	6	0	0	highFreqWords_Courier New_24.mat	24	highFreqWords_Courier New_96.mat	96	highFreqWords_Courier New_28.mat	28	highFreqWords_Courier New_60.mat	60	1	Courier New	30.683083717	31.3830973910008	31.6831451080006	32.3831041870008	32.6831472250005	33.3830956370002	33.6831344370003	34.3830758690001	30.6034713600002	34.5675328420002	n/a	0	1	0	n/a	0	n/a	n/a	n/a	oneback
34.5839256230001	4	maleFaces	9	1.1602	1	7	1	9	maleFaces	1	2	4	1	3	maleFaces_56.mat	56	maleFaces_54.mat	54	maleFaces_54.mat	54	maleFaces_28.mat	28	0	n/a	34.6831013180008	35.3830732930001	35.6830875580008	36.3830994210002	36.6830736320007	37.3830735629999	37.6832287320003	38.3831322820006	34.5839256230001	38.5676033770005	37.8433	1	1	1	38.3963	0	2	n/a	n/a	oneback
38.58347658	4	PseudoCourier	7	1.001	1	8	1	7	PseudoCourier	0	0	0	1	3	pseudowords_BACS2_69.mat	69	pseudowords_BACS2_52.mat	52	pseudowords_BACS2_52.mat	52	pseudowords_BACS2_55.mat	55	4	BACS2	38.6831248340004	39.3830789450003	39.683143663	40.3831505040007	40.6831433960006	41.3831506120005	41.6831227700004	42.3830927300005	38.58347658	42.5673434990003	41.6841	0	1	0	n/a	0	2	n/a	n/a	oneback
42.5834758730007	4	blank	13	n/a	1	9	1	13	blank	0	0	0	0	0	n/a	0	n/a	0	n/a	0	n/a	0	0	n/a	42.6830849790003	43.3830956900001	43.6830850590004	44.3830821510001	44.6831222119999	45.3831313320006	45.6830797640005	46.3830747950005	42.5834758730007	46.5673477540004	n/a	1	1	1	45.049	0	n/a	n/a	n/a	oneback
46.5829772390007	4	femaleFaces	10	n/a	1	10	1	10	femaleFaces	1	4	6	0	0	femaleFaces_42.mat	42	femaleFaces_19.mat	19	femaleFaces_59.mat	59	femaleFaces_49.mat	49	0	n/a	46.6831656520008	47.3831081940007	47.6831090470005	48.3831558700003	48.6830865870006	49.3830617040003	49.6830964440005	50.3830696290006	46.5829772390007	50.5674478720002	n/a	0	1	0	n/a	0	n/a	n/a	n/a	oneback
50.5831906130006	4	objects2	12	n/a	1	11	1	12	objects2	0	0	0	0	0	objects2_36.mat	36	objects2_51.mat	51	objects2_29.mat	29	objects2_49.mat	49	0	n/a	50.6831174920007	51.3831053030008	51.6830865280008	52.3831336680005	52.683123195	53.3830646940005	53.6831481180006	54.383110879	50.5831906130006	54.5676226770001	n/a	0	1	0	n/a	0	n/a	n/a	n/a	oneback
54.5834130170006	4	PseudoCourier	7	n/a	1	12	1	7	PseudoCourier	1	2	1	0	0	highFreqWords_BACS2_56.mat	56	highFreqWords_BACS2_15.mat	15	highFreqWords_BACS2_61.mat	61	highFreqWords_BACS2_29.mat	29	4	BACS2	54.6831368840003	55.3830885590005	55.6831550700008	56.3831282589999	56.6830628840007	57.3831072820003	57.6831044	58.3830831840005	54.5834130170006	58.567286509	58.3835	1	1	1	54.7591	0	2	n/a	n/a	oneback
58.5824001430001	4	PseudoSloan	6	n/a	1	13	1	6	PseudoSloan	1	4	5	0	0	highFreqWords_PseudoSloan_91.mat	91	highFreqWords_PseudoSloan_32.mat	32	highFreqWords_PseudoSloan_37.mat	37	highFreqWords_PseudoSloan_22.mat	22	3	PseudoSloan	58.6830932400007	59.3831381270002	59.6831348620008	60.3830940040007	60.6831481300005	61.383162434	61.6831845520001	62.3831885600002	58.5824001430001	62.5675394940008	n/a	0	1	0	n/a	0	n/a	n/a	n/a	oneback
62.5832778700005	4	blank	13	n/a	1	14	1	13	blank	0	0	0	0	0	n/a	0	n/a	0	n/a	0	n/a	0	0	n/a	62.6831567400004	63.3831377730003	63.6830898610006	64.3831182190006	64.6831632140002	65.3831306880002	65.6830845480008	66.3830985160002	62.5832778700005	66.5674455550006	n/a	1	1	6	65.8389	0	n/a	n/a	n/a	oneback
66.5826344200004	4	PseudoSloan	6	n/a	1	15	1	6	PseudoSloan	1	4	1	0	0	lowFreqWordsFoveaSloan_PseudoSloan_49.mat	49	lowFreqWordsFoveaSloan_PseudoSloan_82.mat	82	lowFreqWordsFoveaSloan_PseudoSloan_15.mat	15	lowFreqWordsFoveaSloan_PseudoSloan_57.mat	57	3	PseudoSloan	66.6831981060004	67.3830833400007	67.6831475610006	68.3831658950003	68.6831712460007	69.3831862679999	69.6830838860005	70.3831550250006	66.5826344200004	70.5673695760006	n/a	1	1	7	70.3939	0	n/a	n/a	n/a	oneback
70.583857263	4	objects1	11	0.70055	1	16	1	11	objects1	0	0	0	1	3	objects1_54.mat	54	objects1_23.mat	23	objects1_23.mat	23	objects1_47.mat	47	0	n/a	70.6831284650007	71.3831797380008	71.6831342340001	72.3831025750005	72.6831345600003	73.3831518610004	73.6830822710008	74.3831011500006	70.583857263	74.5673659510003	73.3837	1	1	5	73.7107	0	2	n/a	n/a	oneback
74.5833761410004	4	highFreqWords	1	n/a	1	17	1	1	highFreqWords	0	0	0	0	0	highFreqWords_Sloan_34.mat	34	highFreqWords_Sloan_69.mat	69	highFreqWords_Sloan_86.mat	86	highFreqWords_Sloan_33.mat	33	2	Sloan	74.6831116370004	75.3831035570001	75.683182795	76.3831047940002	76.6831063039999	77.3831352440002	77.6831360630003	78.383149065	74.5833761410004	78.5673949360007	n/a	1	1	7	78.3928	0	n/a	n/a	n/a	oneback
78.5827996850003	4	highFreqWords	1	n/a	1	18	1	1	highFreqWords	0	0	0	0	0	highFreqWords_Courier New_56.mat	56	highFreqWords_Courier New_15.mat	15	highFreqWords_Courier New_61.mat	61	highFreqWords_Courier New_29.mat	29	1	Courier New	78.6831054220002	79.3831114700006	79.6831344820002	80.3830829620001	80.6830782820007	81.383148762	81.6831106810005	82.3831543189999	78.5827996850003	82.567522972	n/a	1	1	8	82.384	0	n/a	n/a	n/a	oneback
82.5830355870003	4	objects1	11	n/a	1	19	1	11	objects1	0	0	0	0	0	objects1_46.mat	46	objects1_84.mat	84	objects1_49.mat	49	objects1_85.mat	85	0	n/a	82.6831810240001	83.3831737730006	83.6831897930006	84.3831396760006	84.6830829340006	85.3830989120006	85.6831348140004	86.3831361320008	82.5830355870003	86.567537031	n/a	1	1	8	86.3839	0	n/a	n/a	n/a	oneback
86.5836267670002	4	lowFreqWordsFoveaSloan	5	0.70059	1	20	1	5	lowFreqWordsFoveaSloan	0	0	0	1	3	lowFreqWordsFoveaSloan_Sloan_91.mat	91	lowFreqWordsFoveaSloan_Sloan_27.mat	27	lowFreqWordsFoveaSloan_Sloan_27.mat	27	lowFreqWordsFoveaSloan_Sloan_19.mat	19	2	Sloan	86.6830842190002	87.3830783840003	87.6830778840003	88.3831535480003	88.68314887	89.3831727780007	89.6830733890001	90.3831552810007	86.5836267670002	90.5678274520005	89.3837	1	1	8	90.384	0	2	n/a	n/a	oneback
