onset	duration	trial_type	trial_type_index	response_time	runNum	trialNum	task	categoryI	category	fixColorChange	fixColorChangeStimNum	fixColorChangeIncrement	stimRepeat	repeatStimNum	stim1File	stim1Index	stim2File	stim2Index	stim3File	stim3Index	stim4File	stim4Index	fontI	font	tstimulus1Ons	tISI1Ons	tstimulus2Ons	tISI2Ons	tstimulus3Ons	tISI3Ons	tstimulus4Ons	tISI4Ons	tTrialStart	tTrialEnd	tRes	fixBreak	trialDone	nFixBreakSegs	tFixBreak	userQuit	chosenRes	didRecalib	quitDuringRecalib	taskName
10.6572114559995	4	objects1	11	0.70092	3	1	1	11	objects1	1	3	6	1	4	objects1_77.mat	77	objects1_96.mat	96	objects1_22.mat	22	objects1_22.mat	22	0	n/a	10.6831683600003	11.3831532060003	11.6832060349998	12.383169275	12.6831677729997	13.3831216369999	13.6832159599999	14.3831994539996	10.6572114559995	14.5714317009997	14.3841	1	1	7	14.4167	0	3	n/a	n/a	oneback
14.6182467210001	4	maleFaces	9	0.70056	3	2	1	9	maleFaces	0	0	0	1	4	maleFaces_76.mat	76	maleFaces_38.mat	38	maleFaces_14.mat	14	maleFaces_14.mat	14	0	n/a	14.6831097739996	15.3830750569996	15.6830871359998	16.3830770929999	16.6831696680001	17.3831063609996	17.6831636179995	18.3831531989999	14.6182467210001	18.5680849780001	18.3837	1	1	3	17.5456	0	3	n/a	n/a	oneback
18.5864960910003	4	lowFreqWords	2	0.71169	3	3	1	2	lowFreqWords	1	3	2	1	4	lowFreqWords_Courier New_81.mat	81	lowFreqWords_Courier New_56.mat	56	lowFreqWords_Courier New_3.mat	3	lowFreqWords_Courier New_3.mat	3	1	Courier New	18.6831654580001	19.3831690090001	19.6831682599995	20.3832073459998	20.6831007339997	21.3831537149999	21.6831033660001	22.3831738829995	18.5864960910003	22.5678891299995	22.3948	1	1	1	18.7065	0	3	n/a	n/a	oneback
22.586830788	4	lowFreqWordsFoveaSloan	5	0.56579	3	4	1	5	lowFreqWordsFoveaSloan	1	3	3	1	3	lowFreqWordsFoveaSloan_Sloan_14.mat	14	lowFreqWordsFoveaSloan_Sloan_9.mat	9	lowFreqWordsFoveaSloan_Sloan_9.mat	9	lowFreqWordsFoveaSloan_Sloan_33.mat	33	2	Sloan	22.6831659359996	23.3832087640003	23.6831048570002	24.3831537019996	24.683100366	25.3830989239996	25.6830922379995	26.3832062969996	22.586830788	26.5680497470003	25.2489	1	1	1	24.2714	0	3	n/a	n/a	oneback
26.5902128970001	4	lowFreqWordsFoveaSloan	5	n/a	3	5	1	5	lowFreqWordsFoveaSloan	1	4	6	0	0	lowFreqWordsFoveaSloan_Sloan_13.mat	13	lowFreqWordsFoveaSloan_Sloan_22.mat	22	lowFreqWordsFoveaSloan_Sloan_18.mat	18	lowFreqWordsFoveaSloan_Sloan_26.mat	26	2	Sloan	26.6831918769994	27.3831696649995	27.6831532699998	28.3831680590001	28.6831530769996	29.3831259849994	29.683151792	30.3831524899997	26.5902128970001	30.5710193349996	n/a	1	1	2	27.384	0	n/a	n/a	n/a	oneback
30.6037290229997	4	PseudoSloanFovea	8	0.79068	3	6	1	8	PseudoSloanFovea	0	0	0	1	3	lowFreqWordsFoveaSloan_PseudoSloan_14.mat	14	lowFreqWordsFoveaSloan_PseudoSloan_9.mat	9	lowFreqWordsFoveaSloan_PseudoSloan_9.mat	9	lowFreqWordsFoveaSloan_PseudoSloan_33.mat	33	3	PseudoSloan	30.6831292919996	31.3831718330002	31.6831525050002	32.3831247400003	32.6832088579995	33.3831215139999	33.6831998170001	34.383209347	30.6037290229997	34.5683489679996	33.4739	1	1	1	33.5836	0	3	n/a	n/a	oneback
34.5849303959994	4	blank	13	n/a	3	7	1	13	blank	0	0	0	0	0	n/a	0	n/a	0	n/a	0	n/a	0	0	n/a	34.6831776979998	35.3831228079998	35.6832106419997	36.3831688669998	36.6831540049998	37.3831520900003	37.6831578559995	38.383174046	34.5849303959994	38.5675441539997	n/a	1	1	2	36.6839	0	n/a	n/a	n/a	oneback
38.5827612450003	4	objects1	11	n/a	3	8	1	11	objects1	1	3	1	0	0	objects1_16.mat	16	objects1_56.mat	56	objects1_18.mat	18	objects1_60.mat	60	0	n/a	38.6831861230003	39.3831802559998	39.6832063599995	40.3831226749999	40.6832127299995	41.383122538	41.683158025	42.383121756	38.5827612450003	42.5674854190001	n/a	1	1	1	38.6844	0	n/a	n/a	n/a	oneback
42.5833438939999	4	PseudoSloanFovea	8	n/a	3	9	1	8	PseudoSloanFovea	1	3	2	0	0	lowFreqWordsFoveaSloan_PseudoSloan_13.mat	13	lowFreqWordsFoveaSloan_PseudoSloan_22.mat	22	lowFreqWordsFoveaSloan_PseudoSloan_18.mat	18	lowFreqWordsFoveaSloan_PseudoSloan_26.mat	26	3	PseudoSloan	42.6831679959996	43.3831792330002	43.6831520770002	44.3831554879998	44.6831691959997	45.3831002059997	45.6831548849996	46.3831771590003	42.5833438939999	46.5676397070001	45.384	0	1	0	n/a	0	3	n/a	n/a	oneback
46.5837577390002	4	objects1	11	n/a	3	10	1	11	objects1	0	0	0	0	0	objects1_52.mat	52	objects1_35.mat	35	objects1_17.mat	17	objects1_29.mat	29	0	n/a	46.6831669530002	47.3831006370001	47.6832066540001	48.3832101709995	48.6831728279994	49.3832217999998	49.6831614989997	50.3832171409995	46.5837577390002	50.567520695	n/a	0	1	0	n/a	0	n/a	n/a	n/a	oneback
