onset	trial_type	trial_type_index	response_time	runNum	trialNum	task	categoryI	category	fixColorChange	fixColorChangeStimNum	fixColorChangeIncrement	stimRepeat	repeatStimNum	baseFont	stim1File	stim1Index	stim2File	stim2Index	stim3File	stim3Index	stim4File	stim4Index	duration	tstimulus1Ons	tISI1Ons	tstimulus2Ons	tISI2Ons	tstimulus3Ons	tISI3Ons	tstimulus4Ons	tISI4Ons	tTrialStart	tTrialEnd	tRes	fixBreak	trialDone	nFixBreakSegs	tFixBreak	userQuit	chosenRes	didRecalib	quitDuringRecalib	taskName
15.3558241609717	maleFaces	7	NaN	2	1	2	7	maleFaces	0	0	0	1	3	0	maleFaces_44.mat	44	maleFaces_24.mat	24	maleFaces_24.mat	24	maleFaces_72.mat	72	4	15.3986638970091	16.0979975800146	16.3987515729968	17.0976491419715	17.3984034439782	18.0977030050126	18.3987233039807	19.0972248699982	15.3558241609717	19.2899795579724	NaN	1	1	5	19.1101761600003	0	NaN	NaN	NaN	fixation
19.3307382029598	pseudowords	3	NaN	2	2	2	3	pseudowords	0	0	0	0	0	0	pseudowords_Courier New_20.mat	20	pseudowords_Courier New_46.mat	46	pseudowords_Courier New_5.mat	5	pseudowords_Courier New_65.mat	65	4	19.3971389189828	20.0972905259696	20.3971178790089	21.0972574749612	21.3971289769979	22.0973078669631	22.3971030309913	23.0970653239638	19.3307382029598	23.2826889039716	NaN	1	1	3	23.1221626650076	0	NaN	NaN	NaN	fixation
23.2995984359877	lowFreqWords	2	0.704715530038811	2	3	2	2	lowFreqWords	1	2	4	1	2	0	lowFreqWords_Sloan_50.mat	50	lowFreqWords_Sloan_50.mat	50	lowFreqWords_Sloan_53.mat	53	lowFreqWords_Sloan_33.mat	33	4	23.3971144749667	24.0967389039579	24.3965129049611	25.0966692959773	25.3965937370085	26.0966343129985	26.3952921769815	27.095485066995	23.2995984359877	27.2837233690079	25.1012284349999	1	1	3	27.1082470259862	0	2	NaN	NaN	fixation
27.3010745869833	objects2	10	NaN	2	4	2	10	objects2	0	0	0	1	3	0	objects2_48.mat	48	objects2_15.mat	15	objects2_15.mat	15	objects2_78.mat	78	4	27.397033679008	28.0966839999892	28.3970705249812	29.0963023059885	29.3962311840151	30.0961105590104	30.3964626810048	31.0962043919717	27.3010745869833	31.2859208959853	NaN	1	1	4	29.5579675670015	0	NaN	NaN	NaN	fixation
31.3067979019834	consonants	4	1.00504383997759	2	5	2	4	consonants	1	2	5	0	0	0	consonants_Courier New_56.mat	56	consonants_Courier New_73.mat	73	consonants_Courier New_32.mat	32	consonants_Courier New_92.mat	92	4	31.3962712700013	32.0951863699593	32.3960278599989	33.09501309396	33.3962680510012	34.0954328110092	34.3954676929861	35.0956209269934	31.3067979019834	35.2867922229925	33.4010716999765	1	1	3	33.7513172759791	0	2	NaN	NaN	fixation
35.3144965019892	highFreqWords	1	1.29603294201661	2	6	2	1	highFreqWords	1	2	4	0	0	0	highFreqWords_Sloan_29.mat	29	highFreqWords_Sloan_43.mat	43	highFreqWords_Sloan_75.mat	75	highFreqWords_Sloan_62.mat	62	4	35.3956634259666	36.0954518800136	36.3955406429595	37.0955126530025	37.3955106409849	38.0955013419734	38.3954550079652	39.0937162789633	35.3144965019892	39.2826786980149	37.6915735849761	1	1	2	38.6442797369673	0	2	NaN	NaN	fixation
39.2973944259575	PseudoCourier	6	NaN	2	7	2	6	PseudoCourier	0	0	0	0	0	0	highFreqWords_BACS2_23.mat	23	highFreqWords_BACS2_22.mat	22	highFreqWords_BACS2_14.mat	14	highFreqWords_BACS2_1.mat	1	4	39.3947401960031	40.0949823679985	40.3949000109569	41.094940326002	41.3947345389752	42.0949450169574	42.3948670059908	43.0949736349867	39.2973944259575	43.2839282730129	NaN	1	1	6	42.107655638014	0	NaN	NaN	NaN	fixation
43.2996079219738	objects1	9	NaN	2	8	2	9	objects1	0	0	0	1	3	0	objects1_81.mat	81	objects1_15.mat	15	objects1_15.mat	15	objects1_26.mat	26	4	43.3951073749922	44.0942891970044	44.3948017359944	45.0945009390125	45.3947902729851	46.0942052240134	46.395160349959	47.0943413809873	43.2996079219738	47.2833319479832	NaN	0	1	0	NaN	0	NaN	NaN	NaN	fixation
47.2987514399574	objects2	10	NaN	2	9	2	10	objects2	0	0	0	1	4	0	objects2_34.mat	34	objects2_91.mat	91	objects2_25.mat	25	objects2_25.mat	25	4	47.3946516849683	48.0943524179747	48.3950555750052	49.0927539899712	49.3939431770123	50.0937819269602	50.3939294680022	51.0938138169586	47.2987514399574	51.281297589012	47.3989036089624	1	1	7	51.1065522669815	0	2	NaN	NaN	fixation
51.2963992999867	objects1	9	NaN	2	10	2	9	objects1	0	0	0	1	3	0	objects1_7.mat	7	objects1_3.mat	3	objects1_3.mat	3	objects1_49.mat	49	4	51.3945896949735	52.0939662199817	52.3941520279623	53.0938634760096	53.3941209829645	54.0933468510048	54.3937143099611	55.0933741329936	51.2963992999867	55.281344760966	NaN	1	1	6	55.1069462829619	0	NaN	NaN	NaN	fixation
55.2970530689927	PseudoSloan	5	NaN	2	11	2	5	PseudoSloan	0	0	0	0	0	0	lowFreqWords_PseudoSloan_40.mat	40	lowFreqWords_PseudoSloan_71.mat	71	lowFreqWords_PseudoSloan_82.mat	82	lowFreqWords_PseudoSloan_91.mat	91	4	55.3929609020124	56.0934117509751	56.3930242629722	57.0931978679728	57.3929742379696	58.0932902059867	58.393349794962	59.0916779219988	55.2970530689927	59.2801861499902	NaN	1	1	3	59.1175518329837	0	NaN	NaN	NaN	fixation
59.2956356779905	PseudoSloan	5	NaN	2	12	2	5	PseudoSloan	1	2	6	0	0	0	consonants_PseudoSloan_41.mat	41	consonants_PseudoSloan_72.mat	72	consonants_PseudoSloan_47.mat	47	consonants_PseudoSloan_44.mat	44	4	59.3934355329839	60.0927828809945	60.3928430479718	61.0928217690089	61.3925630300073	62.0929392880062	62.3923764349893	63.0927711349796	59.2956356779905	63.2809048150084	NaN	1	1	2	62.5177848360036	0	NaN	NaN	NaN	fixation
63.2969185420079	blank	11	NaN	2	13	2	11	blank	0	0	0	0	0	0		0		0		0		0	4	63.3927569430089	64.0920772610116	64.3919111539726	65.0921608029748	65.3922364399768	66.0922782049747	66.3922272429918	67.0922436109977	63.2969185420079	67.280616117001	NaN	1	1	7	67.118097375962	0	NaN	NaN	NaN	fixation
67.2950860509882	consonants	4	NaN	2	14	2	4	consonants	1	4	6	0	0	0	consonants_Sloan_6.mat	6	consonants_Sloan_90.mat	90	consonants_Sloan_71.mat	71	consonants_Sloan_21.mat	21	4	67.3922492819838	68.0910158989718	68.3923019180074	69.0918470259639	69.3918558699661	70.0916605140083	70.3914312460111	71.0917899970082	67.2950860509882	71.2818942730082	NaN	1	1	5	71.1045802989975	0	NaN	NaN	NaN	fixation
71.2969645530102	objects1	9	NaN	2	15	2	9	objects1	0	0	0	0	0	0	objects1_45.mat	45	objects1_38.mat	38	objects1_42.mat	42	objects1_83.mat	83	4	71.3918534140103	72.090797902958	72.3924333149916	73.0917363630142	73.3921935549588	74.0910825890023	74.391553768015	75.089814817009	71.2969645530102	75.2780023299856	NaN	0	1	0	NaN	0	NaN	NaN	NaN	fixation
75.2939509520074	femaleFaces	8	NaN	2	16	2	8	femaleFaces	0	0	0	0	0	0	femaleFaces_94.mat	94	femaleFaces_61.mat	61	femaleFaces_9.mat	9	femaleFaces_40.mat	40	4	75.3918147879886	76.0910633709864	76.3920681260061	77.0910231989692	77.3918326830026	78.0911191329942	78.3920957130031	79.0906198360026	75.2939509520074	79.2792525480036	NaN	1	1	4	78.1041538660065	0	NaN	NaN	NaN	fixation
79.294802843011	lowFreqWords	2	NaN	2	17	2	2	lowFreqWords	0	0	0	0	0	0	lowFreqWords_Courier New_56.mat	56	lowFreqWords_Courier New_69.mat	69	lowFreqWords_Courier New_23.mat	23	lowFreqWords_Courier New_59.mat	59	4	79.3905239079613	80.0905116749927	80.3906784899882	81.0892901300103	81.3903543929919	82.0907312619966	82.3905384279788	83.0905017349869	79.294802843011	83.2773634739569	NaN	1	1	8	83.2024836129858	0	NaN	NaN	NaN	fixation
83.2921493210015	femaleFaces	8	NaN	2	18	2	8	femaleFaces	0	0	0	1	3	0	femaleFaces_11.mat	11	femaleFaces_34.mat	34	femaleFaces_34.mat	34	femaleFaces_82.mat	82	4	83.3913216349902	84.0899729139637	84.3908069090103	85.088824972976	85.390548107971	86.0899013649905	86.391063484014	87.0886228060117	83.2921493210015	87.2775975409895	NaN	1	1	4	87.1398198349634	0	NaN	NaN	NaN	fixation
87.2929764959845	highFreqWords	1	NaN	2	19	2	1	highFreqWords	0	0	0	1	3	0	highFreqWords_Courier New_27.mat	27	highFreqWords_Courier New_95.mat	95	highFreqWords_Courier New_95.mat	95	highFreqWords_Courier New_42.mat	42	4	87.3898331010132	88.0899589119945	88.3901540919906	89.0892446009675	89.3894251649617	90.0890972379711	90.3896290549892	91.0898687019944	87.2929764959845	91.2781663719798	NaN	1	1	4	89.3220083930064	0	NaN	NaN	NaN	fixation
91.2926792869694	highFreqWords	1	NaN	2	20	2	1	highFreqWords	0	0	0	0	0	0	highFreqWords_Sloan_89.mat	89	highFreqWords_Sloan_47.mat	47	highFreqWords_Sloan_28.mat	28	highFreqWords_Sloan_33.mat	33	4	91.3892792479601	92.0891580779571	92.3892453800072	93.0895732800127	93.3893662680057	94.0890076119686	94.3887611209648	95.0888160059694	91.2926792869694	95.277424306958	NaN	1	1	8	95.1017029089853	0	NaN	NaN	NaN	fixation
95.2921690609655	maleFaces	7	1.29029286099831	2	21	2	7	maleFaces	1	4	2	1	3	0	maleFaces_11.mat	11	maleFaces_2.mat	2	maleFaces_2.mat	2	maleFaces_39.mat	39	4	95.389457207988	96.0887757889577	96.3895119130029	97.0877291029901	97.3897788010072	98.0888316719793	98.3897586580133	99.0881842959789	95.2921690609655	99.2766725319671	NaN	1	1	5	97.5042998199933	0	NaN	NaN	NaN	fixation
99.2920270389877	pseudowords	3	NaN	2	22	2	3	pseudowords	0	0	0	0	0	0	pseudowords_Courier New_45.mat	45	pseudowords_Courier New_69.mat	69	pseudowords_Courier New_64.mat	64	pseudowords_Courier New_13.mat	13	4	99.3880182289868	100.088178198959	100.388097021962	101.088172274991	101.388096089009	102.088237752963	102.388228152995	103.088238973985	99.2920270389877	103.276283893967	99.6800515190116	1	1	7	103.100869575981	0	2	NaN	NaN	fixation
103.291856569995	femaleFaces	8	1.00343370699557	2	23	2	8	femaleFaces	1	4	5	0	0	0	femaleFaces_3.mat	3	femaleFaces_26.mat	26	femaleFaces_96.mat	96	femaleFaces_85.mat	85	4	103.389429092989	104.087734787958	104.388598474965	105.087598806014	105.388737813977	106.087595458957	106.388399771007	107.087892811978	103.291856569995	107.275826919999	NaN	1	1	7	106.401673040993	0	NaN	NaN	NaN	fixation
107.290969880007	lowFreqWords	2	NaN	2	24	2	2	lowFreqWords	0	0	0	0	0	0	lowFreqWords_Courier New_87.mat	87	lowFreqWords_Courier New_96.mat	96	lowFreqWords_Courier New_78.mat	78	lowFreqWords_Courier New_92.mat	92	4	107.387702576001	108.087900349987	108.387616018998	109.087205532007	109.38715142	110.087068224966	110.387324401992	111.087245844014	107.290969880007	111.274287013977	107.391833478003	1	1	5	109.399404258002	0	2	NaN	NaN	fixation
111.289456236991	maleFaces	7	NaN	2	25	2	7	maleFaces	1	3	5	1	2	0	maleFaces_83.mat	83	maleFaces_83.mat	83	maleFaces_90.mat	90	maleFaces_21.mat	21	4	111.387998982973	112.087226864009	112.388027901994	113.087002875982	113.387415168982	114.086707165989	114.387441342988	115.08635841799	111.289456236991	115.27486381901	NaN	1	1	5	115.099161635968	0	NaN	NaN	NaN	fixation
115.289933835971	blank	11	NaN	2	26	2	11	blank	0	0	0	0	0	0		0		0		0		0	4	115.386663692014	116.086761012964	116.386590311013	117.086736116966	117.386430258979	118.086514308001	118.386461715971	119.086062663991	115.289933835971	119.274019324977	NaN	1	1	7	119.098855723976	0	NaN	NaN	NaN	fixation
119.288742236968	objects2	10	NaN	2	27	2	10	objects2	0	0	0	0	0	0	objects2_67.mat	67	objects2_13.mat	13	objects2_52.mat	52	objects2_28.mat	28	4	119.386091977998	120.086154813005	120.386101442971	121.086097205989	121.386243454006	122.085994176974	122.386304483982	123.086063333962	119.288742236968	123.273148809967	NaN	1	1	6	123.099682483007	0	NaN	NaN	NaN	fixation
123.288102374005	objects2	10	NaN	2	28	2	10	objects2	0	0	0	1	4	0	objects2_7.mat	7	objects2_61.mat	61	objects2_18.mat	18	objects2_18.mat	18	4	123.386550205993	124.086126471986	124.38617853797	125.085557257	125.386247104965	126.085520185996	126.385872095998	127.085535750957	123.288102374005	127.27552683698	NaN	1	1	7	127.098288812966	0	NaN	NaN	NaN	fixation
