onset	duration	trial_type	taskName	stimulusCategory	response_time	runNum	blockNum	blockTrial	trialNum	task	stimulusType	locationI	categoryI	sizeCondI	fixTargPres	whichStair	wordIndex	stringLength	string_1	string_2	string_3	string_4	stringFreqBin	stringFreq	ELP_FreqHAL	stringOrthN	ELP_MeanRT	stringCategory	gapLetterI	eccentricity	sizeSpacingCond	xHeightDeg	spacingCondition	fontSizeI	fontSizePoints	fontSpacingDeg	tstimulusOns	tresponseOns	tTrialStart	tRes	fixBreak	trialDone	nFixBreakSegs	tFixBreak	userQuit	chosenRes	responseTimeout	respCorrect	didRecalib	quitDuringRecalib	tFeedback	tTrialEnd	fixationTargColr	year	month	day	runNumber	RT
10.6791867200009	0.150008955660269	0	AttndFix	shapes	1.0313	7	1	1	1	2	2	6	1	1	0	1	8	4	1	2	2	1	n/a	0	0	0	0	pseudo	2	0	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	10.6791867200009	10.8292150500001	10.6330635939994	11.7105	1	1	1	10.6815	0	1	0	1	0	0	n/a	14.5143852429992	0.75	2021	1	29	7	1031.327
14.6792068350005	0.150008955660269	6	AttndFix	shapes	0.70308	7	1	2	2	2	2	10	1	1	0	2	1	4	1	1	1	1	n/a	0	0	0	0	pseudo	2	6	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	14.6792068350005	14.8291235699999	14.5527645500006	15.3823	0	1	0	n/a	0	1	0	1	0	0	n/a	18.5133680750005	1	2021	1	29	7	703.0781
18.6791125290001	0.150008955660269	-3	AttndFix	shapes	0.85228	7	1	3	3	2	2	4	1	1	1	1	5	4	2	1	1	1	n/a	0	0	0	0	pseudo	2	-3	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	18.6791125290001	18.8291897300005	18.5369734060005	19.5314	1	1	1	18.681	0	1	0	0	0	0	n/a	22.5141110229997	0.75	2021	1	29	7	852.2763
22.6791013099992	0.150008955660269	0	AttndFix	shapes	0.7394	7	1	4	4	2	2	6	2	1	1	2	6	4	1	1	2	2	n/a	0	0	0	0	real	1	0	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	22.6791013099992	22.8291060570009	22.5357209470003	23.4185	1	1	1	22.6796	0	2	0	1	0	0	n/a	26.5133894450009	1	2021	1	29	7	739.4031
26.6790944010008	0.150008955660269	6	AttndFix	shapes	0.64849	7	1	5	5	2	2	10	1	1	1	1	5	4	2	1	1	1	n/a	0	0	0	0	pseudo	1	6	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	26.6790944010008	26.8291948740007	26.5416688870009	27.3276	1	1	1	26.6794	0	1	0	0	0	0	n/a	30.5157652830003	0.75	2021	1	29	7	648.49
30.6792154699997	0.150008955660269	0	AttndFix	shapes	0.82299	7	1	6	6	2	2	6	1	1	0	2	1	4	1	1	1	1	n/a	0	0	0	0	pseudo	2	0	ShortLargeFontSpacingDefault	0.431444891935053	defaultSpacing	1	0	0.442507581471849	30.6792154699997	30.82922306	30.564669886	31.5022	1	1	1	30.6797	0	1	0	1	0	0	n/a	34.5136844829995	1	2021	1	29	7	822.9927
40.6791051309992	0.150008955660269	-9	AttndFix	letters	0.85211	7	2	1	7	2	1	1	1	1	1	1	53	4	elur	n/a	n/a	n/a	0	0	n/a	2	n/a	pseudo	1	-9	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	40.6791051309992	40.8291953970001	40.549851492	41.5312	1	1	1	40.6795	0	2	0	1	0	0	n/a	44.5133652969998	1	2021	1	29	7	852.1086
44.6791311239995	0.150008955660269	0	AttndFix	letters	1.2553	7	2	2	8	2	1	6	2	1	0	2	199	4	days	n/a	n/a	n/a	high	392.12	158630	15	586.75	real	1	0	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	44.6791311239995	44.8291959880007	44.5336461049992	45.9345	1	1	1	44.7392	0	1	0	1	0	0	n/a	48.513148041	0.880111736793393	2021	1	29	7	1255.3322
48.6791306600007	0.150008955660269	-6	AttndFix	letters	1.1871	7	2	3	9	2	1	2	1	1	1	2	26	4	grur	n/a	n/a	n/a	0	0	n/a	1	n/a	pseudo	1	-6	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	48.6791306600007	48.8292249679998	48.5340353209995	49.8663	1	1	1	48.6952	0	1	0	0	0	0	n/a	52.5130499099996	0.774596669241483	2021	1	29	7	1187.127
52.6791384450007	0.150008955660269	-9	AttndFix	letters	0.95133	7	2	4	10	2	1	1	1	1	0	2	19	4	blso	n/a	n/a	n/a	0	0	n/a	1	n/a	pseudo	1	-9	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	52.6791384450007	52.8291789649993	52.5386435870005	53.6305	1	1	1	52.6794	0	1	0	1	0	0	n/a	56.5130824280004	1	2021	1	29	7	951.3309
56.6791954510009	0.150008955660269	0	AttndFix	letters	0.73301	7	2	5	11	2	1	6	2	1	1	2	242	4	feet	n/a	n/a	n/a	high	237.67	40143	8	573.176	real	1	0	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	56.6791954510009	56.8291855629996	56.5317465589997	57.4122	1	1	1	56.6795	0	1	0	0	0	0	n/a	60.5131624999995	0.880111736793393	2021	1	29	7	733.0134
60.6792167240001	0.150008955660269	-6	AttndFix	letters	0.7733	7	2	6	12	2	1	2	2	1	0	2	140	4	very	n/a	n/a	n/a	high	1382.2	587578	2	633.706	real	1	-6	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	60.6792167240001	60.8291166670006	60.5326314689992	61.4525	1	1	1	60.6795	0	1	0	1	0	0	n/a	64.5129250999998	1	2021	1	29	7	773.2965
72.6791756660004	0.150008955660269	1.5	AttndFix	letters	0.99123	7	3	1	13	2	1	7	2	1	1	1	138	4	than	n/a	n/a	n/a	high	1662.82	702491	6	745.963	real	1	1.5	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	72.6791756660004	72.8291766330003	72.5489263809995	73.6704	1	1	1	72.6795	0	1	0	0	0	0	n/a	76.513153549	0.880111736793393	2021	1	29	7	991.234
76.6792015669998	0.150008955660269	-3	AttndFix	letters	1.298	7	3	2	14	2	1	4	2	1	0	1	182	4	room	n/a	n/a	n/a	high	476	85138	9	543.324	real	1	-3	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	76.6792015669998	76.8291728410004	76.5323630999992	77.9772	1	1	1	76.6795	0	1	0	1	0	0	n/a	80.5131068989995	1	2021	1	29	7	1297.9877
80.6792248719994	0.150008955660269	-4.5	AttndFix	letters	0.66429	7	3	3	15	2	1	3	2	1	0	2	186	4	face	n/a	n/a	n/a	high	467.02	77706	12	551.156	real	1	-4.5	ShortLargeFontSpacingDefault	0.40931951286146	defaultSpacing	1	70	0.442507581471849	80.6792248719994	80.8291830599992	80.5309468409996	81.3435	1	1	1	80.6795	0	1	0	1	0	0	n/a	84.5130535989992	0.938142705985285	2021	1	29	7	664.2914
